Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,,,,,,8.8293e+16,6.1137e+16,5.3265e+16,6.29e+16,8.431e+16,5.8015e+16,5.3809e+16,6.404e+16,9.1819e+16,5.8313e+16,5.9685e+16,6.4698e+16,1.11439e+17,8.9584e+16,8.1434e+16,,1.23945e+17,9.7278e+16,8.2959e+16,,1.17154e+17,,9.4836e+16,8.1797e+16,1.19575e+17,9.0753e+16,8.5777e+16,,1.243e+17,9.5359e+16,9.4036e+16,,1.43756e+17
Operating Income ($mm),1.8278e+16,1.4083e+16,,2.4171e+16,1.3987e+16,1.0105e+16,,2.3359e+16,,1.4097e+16,1.0768e+16,2.6274e+16,1.5894e+16,1.2612e+16,,2.3346e+16,1.3415e+16,1.1544e+16,,2.5569e+16,1.2853e+16,1.3091e+16,,3.3534e+16,2.7503e+16,2.4126e+16,,4.1488e+16,2.9979e+16,2.3076e+16,,3.6016e+16,,2.8318e+16,2.2998e+16,4.0373e+16,2.79e+16,2.5352e+16,,4.2832e+16,2.9589e+16,2.8202e+16,,5.0852e+16
Effective Tax Rate,0.3,0.3,,0.3,0.3,0.3,,0.3,,0.2,0.2,0.3,0.1,0.1,,0.2,0.2,0.2,,0.1,0.1,0.1,,0.1,0.2,0.1,,0.2,0.2,0.2,,0.2,,0.1,0.1,0.2,0.2,0.2,,0.1,0.2,0.2,,0.2
Stock-Based Compensation ($mm),,,,1078000000000000.0,,,,1256000000000000.0,,,,1296000000000000.0,,,,1559000000000000.0,,,,1710000000000000.0,,,,2020000000000000.0,,,,2265000000000000.0,,,,2905000000000000.0,,,,2997000000000000.0,,,,3286000000000000.0,,,,3594000000000000.0
Restructuring Charges ($mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Debt ($mm),4.3871e+16,6999000000000000.0,1.0999e+16,9759000000000000.0,1.0498e+16,1.5996e+16,1.1605e+16,1.3992e+16,,1.3991e+16,1.8475e+16,1.8478e+16,2.0478e+16,1.7472e+16,2.0748e+16,2.1741e+16,2.2429e+16,2.3482e+16,1.624e+16,1.5214e+16,1.0392e+16,7509000000000000.0,1.3769e+16,1.2762e+16,1.3003e+16,1.6039e+16,1.34313e+17,1.33969e+17,1.29658e+17,1.33691e+17,1.31197e+17,1.20883e+17,,1.20174e+17,1.16509e+17,1.18952e+17,1.15359e+17,1.13408e+17,1.17541e+17,1.07643e+17,1.1182e+17,1.11068e+17,1.11029e+17,1.02324e+17
Total Shareholders' Equity ($mm),1.29006e+17,1.25677e+17,1.19355e+17,1.28267e+17,1.30457e+17,1.26541e+17,1.28249e+17,1.3239e+17,,1.34082e+17,1.32425e+17,1.40199e+17,1.26878e+17,1.14949e+17,1.07147e+17,1.17892e+17,1.0586e+17,9.6456e+16,9.0488e+16,8.9531e+16,7.8425e+16,7.2282e+16,6.5339e+16,6.6224e+16,6.9178e+16,6.428e+16,6.309e+16,7.1932e+16,6.7399e+16,5.8107e+16,5.0672e+16,5.6727e+16,,6.2158e+16,6.0274e+16,7.41e+16,7.4194e+16,6.6708e+16,5.695e+16,6.6758e+16,6.6796e+16,6.583e+16,7.3733e+16,8.819e+16
Cash & Equivalents ($mm),1.4489e+16,1.5319e+16,2.112e+16,1.6689e+16,2.1514e+16,1.8237e+16,2.0484e+16,1.6371e+16,,1.5157e+16,1.8571e+16,2.7491e+16,4.5059e+16,3.1971e+16,2.5913e+16,4.4771e+16,3.7988e+16,5.053e+16,4.8844e+16,3.9771e+16,4.0174e+16,3.3383e+16,3.8016e+16,3.601e+16,3.8466e+16,3.405e+16,3.494e+16,3.7119e+16,2.8098e+16,2.7502e+16,2.3646e+16,2.0535e+16,,2.4687e+16,2.8408e+16,4.076e+16,3.2695e+16,2.5565e+16,2.9943e+16,3.0299e+16,2.8162e+16,3.6269e+16,3.5934e+16,4.5317e+16
Goodwill ($mm),4711000000000000.0,5044000000000000.0,5116000000000000.0,5202000000000000.0,5249000000000000.0,5261000000000000.0,5414000000000000.0,5423000000000000.0,,5473000000000000.0,5661000000000000.0,5889000000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquired Intangibles ($mm),4061000000000000.0,3779000000000000.0,3893000000000000.0,3924000000000000.0,3843000000000000.0,3506000000000000.0,3206000000000000.0,2848000000000000.0,,2617000000000000.0,2444000000000000.0,2149000000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
