Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,,,3.5714e+16,3.7955e+16,4.3744e+16,6.0453e+16,5.1042e+16,5.2886e+16,5.6576e+16,7.2383e+16,5.97e+16,6.3404e+16,6.9981e+16,8.7437e+16,7.5452e+16,8.8912e+16,9.6145e+16,1.25555e+17,1.08518e+17,1.1308e+17,1.10812e+17,1.37412e+17,1.16444e+17,1.21234e+17,1.27101e+17,1.49204e+17,1.27358e+17,1.34383e+17,1.43083e+17,1.69961e+17,1.43313e+17,1.47977e+17,1.58877e+17,1.87792e+17,1.55667e+17,1.67702e+17,1.80169e+17,2.13386e+17
Operating Income ($mm),255000000000000.0,464000000000000.0,406000000000000.0,1108000000000000.0,1071000000000000.0,1285000000000000.0,575000000000000.0,1255000000000000.0,1005000000000000.0,628000000000000.0,347000000000000.0,2127000000000000.0,1927000000000000.0,2983000000000000.0,3724000000000000.0,3786000000000000.0,4420000000000000.0,3084000000000000.0,3157000000000000.0,3879000000000000.0,3989000000000000.0,5843000000000000.0,6194000000000000.0,6873000000000000.0,8865000000000000.0,7702000000000000.0,4852000000000000.0,3460000000000000.0,3669000000000000.0,3317000000000000.0,2525000000000000.0,2737000000000000.0,4774000000000000.0,7681000000000000.0,1.1188e+16,1.3209e+16,1.5307e+16,1.4672e+16,1.7411e+16,2.1203e+16,1.8405e+16,1.9171e+16,1.7422e+16,2.4977e+16
Effective Tax Rate,,,,0.5,0.5,0.3,0.5,0.4,0.2,,0.2,0.0,0.1,0.0,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.3,0.0,0.3,0.2,0.0,,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.2
Stock-Based Compensation ($mm),407000000000000.0,563000000000000.0,544000000000000.0,606000000000000.0,544000000000000.0,768000000000000.0,776000000000000.0,887000000000000.0,792000000000000.0,1158000000000000.0,1085000000000000.0,1179000000000000.0,1182000000000000.0,1468000000000000.0,1350000000000000.0,1417000000000000.0,1274000000000000.0,1971000000000000.0,1779000000000000.0,1840000000000000.0,1757000000000000.0,2601000000000000.0,2288000000000000.0,2562000000000000.0,2306000000000000.0,3591000000000000.0,3180000000000000.0,3680000000000000.0,3250000000000000.0,5209000000000000.0,5556000000000000.0,5606000000000000.0,4748000000000000.0,7127000000000000.0,5829000000000000.0,6319000000000000.0,4961000000000000.0,6722000000000000.0,5333000000000000.0,4995000000000000.0,3689000000000000.0,6534000000000000.0,4847000000000000.0,4397000000000000.0
Restructuring Charges ($mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Debt ($mm),1.1106e+16,1.0861e+16,1.0568e+16,8800000000000000.0,8495000000000000.0,8388000000000000.0,8393000000000000.0,9894000000000000.0,9876000000000000.0,9895000000000000.0,2.6884e+16,2.5042e+16,2.4845e+16,2.4801e+16,2.4873e+16,2.6336e+16,2.6639e+16,2.6702e+16,2.8252e+16,2.6125e+16,2.616e+16,3.564e+16,3.3443e+16,3.4329e+16,3.4383e+16,5.292e+16,5.2376e+16,5.2362e+16,5.3234e+16,6.8668e+16,6.8888e+16,7.4741e+16,7.2572e+16,7.2569e+16,7.3633e+16,7.5823e+16,7.575e+16,7.0188e+16,6.5836e+16,6.3168e+16,6.384e+16,6.126e+16,5.9314e+16,7.2039e+16
Total Shareholders' Equity ($mm),1.0873e+16,1.1768e+16,1.243e+16,1.3384e+16,1.4756e+16,1.6538e+16,1.7782e+16,1.9285e+16,2.1674e+16,2.3214e+16,2.4658e+16,2.7709e+16,3.1463e+16,3.4995e+16,3.9125e+16,4.3549e+16,4.841e+16,5.3061e+16,5.6508e+16,6.206e+16,6.5272e+16,7.3728e+16,8.2775e+16,9.3404e+16,1.0332e+17,1.14803e+17,1.20564e+17,1.38245e+17,1.34001e+17,1.31402e+17,1.37489e+17,1.46043e+17,1.54526e+17,1.68602e+17,1.82973e+17,2.01875e+17,2.16661e+17,2.36447e+17,2.59151e+17,2.8597e+17,3.05867e+17,3.33775e+17,3.69631e+17,4.11065e+17
Cash & Equivalents ($mm),1.0237e+16,1.0269e+16,1.0709e+16,1.589e+16,1.247e+16,1.2521e+16,1.3656e+16,1.9334e+16,1.544e+16,1.3203e+16,1.2767e+16,2.0522e+16,1.6676e+16,1.9823e+16,2.0425e+16,3.175e+16,2.3115e+16,2.2616e+16,2.3255e+16,3.6092e+16,2.7201e+16,3.7466e+16,2.993e+16,4.2122e+16,3.3834e+16,4.038e+16,2.9944e+16,3.622e+16,3.6393e+16,3.7478e+16,3.4947e+16,5.3888e+16,4.9343e+16,4.9529e+16,4.9605e+16,7.3387e+16,7.2852e+16,7.1178e+16,7.5091e+16,7.8779e+16,6.6207e+16,5.7741e+16,6.6922e+16,8.681e+16
Goodwill ($mm),3491000000000000.0,3523000000000000.0,3529000000000000.0,3759000000000000.0,3785000000000000.0,3774000000000000.0,3815000000000000.0,3784000000000000.0,3823000000000000.0,4254000000000000.0,1.3271e+16,1.335e+16,1.3388e+16,1.3944e+16,1.4553e+16,1.4548e+16,1.4708e+16,1.4727e+16,1.4734e+16,1.4754e+16,1.4739e+16,1.4751e+16,1.496e+16,1.5017e+16,1.522e+16,1.535e+16,1.5345e+16,1.5371e+16,2.0229e+16,2.0195e+16,2.0168e+16,2.0288e+16,2.2749e+16,2.2785e+16,2.2749e+16,2.2789e+16,2.277e+16,2.2879e+16,2.3081e+16,2.3074e+16,2.3089e+16,2.3155e+16,2.326e+16,2.3273e+16
Acquired Intangibles ($mm),,,,,,,,854000000000000.0,,,,3371000000000000.0,,,,4110000000000000.0,,,,4049000000000000.0,,,,4981000000000000.0,,,,5107000000000000.0,,,,6097000000000000.0,,,,7687000000000000.0,,,,8602000000000000.0,,,,9197000000000000.0
Operating Lease Liabilities ($mm),,,,,,,,,,,,,,,,,3.9272e+16,4.2199e+16,4.4966e+16,4.8531e+16,5.0889e+16,5.5668e+16,6.6354e+16,7.3612e+16,7.7115e+16,8.5352e+16,1.01995e+17,1.10311e+17,1.09932e+17,1.14505e+17,1.2252e+17,1.30622e+17,1.34744e+17,1.38758e+17,1.39712e+17,1.42859e+17,1.43457e+17,1.46128e+17,1.50053e+17,1.48646e+17,1.52578e+17,1.58385e+17,1.60593e+17,1.65849e+17
Share Buybacks ($mm),,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2666000000000000.0,3334000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Headcount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Expenditures ($mm),871000000000000.0,1213000000000000.0,1195000000000000.0,1309000000000000.0,1179000000000000.0,1711000000000000.0,1841000000000000.0,2006000000000000.0,1861000000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow ($mm),-2370000000000000.0,784000000000000.0,1415000000000000.0,7622000000000000.0,-3339000000000000.0,1754000000000000.0,2645000000000000.0,8913000000000000.0,-3451000000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Cap ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
