Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,,,,,,,,,,,,,,,131590000000000.0,153009000000000.0,154018000000000.0,205721000000000.0,198378000000000.0,198478000000000.0,171942000000000.0,207467000000000.0,202244000000000.0,194721000000000.0,164739000000000.0,205193000000000.0,187601000000000.0,182853000000000.0,157854000000000.0,187987000000000.0,174350000000000.0,163147000000000.0,136593000000000.0,143484000000000.0,121387000000000.0,105120000000000.0,77742000000000.0,
Operating Income ($mm),-28263000000000.0,-9697000000000.0,-23802000000000.0,4062000000000.0,-15290000000000.0,-8375000000000.0,-15331000000000.0,-1074000000000.0,-5536000000000.0,-5282000000000.0,-11160000000000.0,3011000000000.0,-2620000000000.0,-711000000000.0,-10433000000000.0,7544000000000.0,-1027000000000.0,6815000000000.0,-5057000000000.0,17086000000000.0,3276000000000.0,22061000000000.0,-17802000000000.0,49218000000000.0,16779000000000.0,34770000000000.0,361000000000.0,26197000000000.0,5376000000000.0,7343000000000.0,-11435000000000.0,7673000000000.0,-4446000000000.0,-18696000000000.0,-57870000000000.0,13287000000000.0,-2491000000000.0,-485007000000000.0,-222290000000000.0,-27320000000000.0,-29002000000000.0,-36458000000000.0,-17124000000000.0,
Effective Tax Rate,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1,0.0,0.1,0.1,0.1,0.4,0.0,,0.1,,0.4,0.0,0.5,,0.3,0.0,,0.1,0.0,0.1,
Stock-Based Compensation ($mm),15020000000000.0,7831000000000.0,,6991000000000.0,11270000000000.0,11221000000000.0,,9084000000000.0,8278000000000.0,9099000000000.0,,10891000000000.0,11642000000000.0,12043000000000.0,,14527000000000.0,15038000000000.0,15452000000000.0,,17554000000000.0,18334000000000.0,19546000000000.0,,24646000000000.0,23100000000000.0,28545000000000.0,,32689000000000.0,33084000000000.0,31087000000000.0,,35115000000000.0,33746000000000.0,35920000000000.0,,31906000000000.0,29289000000000.0,18047000000000.0,,15347000000000.0,11257000000000.0,7912000000000.0,,
Restructuring Charges ($mm),2514000000000.0,464000000000.0,342000000000.0,1600000000000.0,-44000000000.0,-154000000000.0,-100000000000.0,-100000000000.0,900000000000.0,59000000000.0,64000000000.0,24000000000.0,220000000000.0,15000000000.0,17000000000.0,300000000000.0,22000000000.0,47000000000.0,28000000000.0,0.0,0.0,0.0,0.0,0.0,0,0,1900000000000.0,0,0,0,0,0,0,5700000000000.0,0,0.0,0,6728000000000.0,0,0,0,0,0,0
Total Debt ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Shareholders' Equity ($mm),235441000000000.0,235345000000000.0,220059000000000.0,231075000000000.0,220397000000000.0,221733000000000.0,215103000000000.0,221939000000000.0,214062000000000.0,222056000000000.0,368954000000000.0,391062000000000.0,370011000000000.0,388719000000000.0,388582000000000.0,410634000000000.0,428137000000000.0,459571000000000.0,468512000000000.0,498829000000000.0,462927000000000.0,498378000000000.0,645392000000000.0,609635000000000.0,1243343000000000.0,1337882000000000.0,1354517000000000.0,1106917000000000.0,808521000000000.0,818791000000000.0,1046532000000000.0,1116589000000000.0,1006759000000000.0,1035001000000000.0,1033349000000000.0,944618000000000.0,963474000000000.0,365500000000000.0,184981000000000.0,192981000000000.0,185671000000000.0,157856000000000.0,146053000000000.0,
Cash & Equivalents ($mm),50028000000000.0,35087000000000.0,80941000000000.0,67029000000000.0,41504000000000.0,49679000000000.0,90213000000000.0,77329000000000.0,70294000000000.0,66086000000000.0,122227000000000.0,126457000000000.0,106827000000000.0,384926000000000.0,379020000000000.0,374664000000000.0,914500000000000.0,555792000000000.0,450457000000000.0,387520000000000.0,359101000000000.0,285064000000000.0,527541000000000.0,479853000000000.0,656168000000000.0,840056000000000.0,713837000000000.0,854078000000000.0,267731000000000.0,402089000000000.0,69349000000000.0,473677000000000.0,281302000000000.0,175368000000000.0,94419000000000.0,135757000000000.0,143747000000000.0,133068000000000.0,152073000000000.0,161475000000000.0,44105000000000.0,36825000000000.0,38180000000000.0,
Goodwill ($mm),91301000000000.0,91301000000000.0,91301000000000.0,91301000000000.0,91301000000000.0,114980000000000.0,114980000000000.0,116239000000000.0,116239000000000.0,116239000000000.0,116239000000000.0,125272000000000.0,125525000000000.0,135842000000000.0,149762000000000.0,149524000000000.0,149481000000000.0,149466000000000.0,149068000000000.0,214513000000000.0,214323000000000.0,284682000000000.0,284809000000000.0,285214000000000.0,290601000000000.0,290725000000000.0,290499000000000.0,289763000000000.0,641284000000000.0,616649000000000.0,589702000000000.0,615093000000000.0,622679000000000.0,629564000000000.0,617690000000000.0,631995000000000.0,628784000000000.0,189769000000000.0,0.0,0.0,,,,
Acquired Intangibles ($mm),12066000000000.0,10629000000000.0,9511000000000.0,8865000000000.0,8237000000000.0,23061000000000.0,21659000000000.0,20748000000000.0,19345000000000.0,17970000000000.0,16599000000000.0,21153000000000.0,19902000000000.0,22591000000000.0,27813000000000.0,25915000000000.0,24097000000000.0,22374000000000.0,20622000000000.0,34667000000000.0,32075000000000.0,59522000000000.0,55386000000000.0,51249000000000.0,49798000000000.0,46620000000000.0,43573000000000.0,40566000000000.0,102685000000000.0,91469000000000.0,80646000000000.0,78333000000000.0,73086000000000.0,67630000000000.0,56638000000000.0,52430000000000.0,48143000000000.0,12848000000000.0,11424000000000.0,10347000000000.0,9271000000000.0,8194000000000.0,7117000000000.0,
Operating Lease Liabilities ($mm),,,,,,,,,,,,,,,,0.0,35488000000000.0,33260000000000.0,35612000000000.0,34313000000000.0,13012000000000.0,12947000000000.0,11661000000000.0,45164000000000.0,17551000000000.0,15811000000000.0,14137000000000.0,31547000000000.0,12456000000000.0,11281000000000.0,12347000000000.0,34275000000000.0,52987000000000.0,49570000000000.0,45943000000000.0,42963000000000.0,16460000000000.0,15595000000000.0,52961000000000.0,42643000000000.0,17797000000000.0,17700000000000.0,15355000000000.0,
Share Buybacks ($mm),,,,,,,,,,,,,0.0,20000000000000.0,,,20000000000000.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,300000000000000.0,300450000000000.0,0.0,,0.0,151311000000000.0,35057000000000.0,,148438000000000.0,0.0,0.0,,2569000000000.0,,,,
Headcount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Expenditures ($mm),1486000000000.0,2660000000000.0,,2369000000000.0,4800000000000.0,9417000000000.0,,6855000000000.0,4770000000000.0,7737000000000.0,,6212000000000.0,4883000000000.0,5204000000000.0,,13175000000000.0,14060000000000.0,9431000000000.0,,10806000000000.0,19965000000000.0,23146000000000.0,,23860000000000.0,18984000000000.0,27611000000000.0,,27054000000000.0,29533000000000.0,27753000000000.0,,23850000000000.0,17166000000000.0,16698000000000.0,,25754000000000.0,28017000000000.0,17800000000000.0,,13294000000000.0,8665000000000.0,7230000000000.0,,
Free Cash Flow ($mm),,,,-20565000000000.0,-24033000000000.0,2693000000000.0,,-13319000000000.0,-3935000000000.0,7942000000000.0,,15551000000000.0,1670000000000.0,11758000000000.0,,17271000000000.0,3881000000000.0,20474000000000.0,,16022000000000.0,43002000000000.0,36092000000000.0,,43927000000000.0,54589000000000.0,43317000000000.0,,38047000000000.0,50502000000000.0,35967000000000.0,,50170000000000.0,55994000000000.0,46049000000000.0,,51730000000000.0,25301000000000.0,-3573000000000.0,,4834000000000.0,15861000000000.0,-12070000000000.0,,
Market Cap ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
