Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,,,3415125000000000.0,3710018000000000.0,3784451000000000.0,3959786000000000.0,3925327000000000.0,4276037000000000.0,4291900000000000.0,4137908000000000.0,3751210000000000.0,3908840000000000.0,3856132000000000.0,3793326000000000.0,3805008000000000.0,3627846000000000.0,4224800000000000.0,4549452000000000.0,4803869000000000.0,5532726000000000.0,6263695000000000.0,6501848000000000.0,6815953000000000.0,6798475000000000.0,6015376000000000.0,5066821000000000.0,4611670000000000.0,4421856000000000.0,4341030000000000.0,4221887000000000.0,4412311000000000.0,4483348000000000.0,4644641000000000.0,4184656000000000.0,4046740000000000.0,4136543000000000.0,4136846000000000.0,3912634000000000.0
Operating Income ($mm),181925000000000.0,229095000000000.0,232711000000000.0,214579000000000.0,198952000000000.0,233747000000000.0,211267000000000.0,193565000000000.0,187958000000000.0,181820000000000.0,194465000000000.0,210876000000000.0,191585000000000.0,219008000000000.0,245973000000000.0,255517000000000.0,224550000000000.0,227535000000000.0,201085000000000.0,136806000000000.0,109440000000000.0,188787000000000.0,168239000000000.0,206802000000000.0,223329000000000.0,260604000000000.0,310769000000000.0,287406000000000.0,345474000000000.0,469665000000000.0,287609000000000.0,164034000000000.0,161033000000000.0,132623000000000.0,113522000000000.0,107429000000000.0,127133000000000.0,178090000000000.0,180119000000000.0,183799000000000.0,176853000000000.0,215919000000000.0,220836000000000.0,181353000000000.0
Effective Tax Rate,0.4,0.4,0.4,-0.0,0.4,0.4,0.4,-0.0,0.3,0.4,0.3,-0.0,0.2,0.3,0.3,-0.0,0.2,0.2,0.2,-0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.2,-0.0,0.2,0.2,0.2,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,-0.0,0.1,0.2,0.2,-0.0
Stock-Based Compensation ($mm),15336000000000.0,15683000000000.0,,14149000000000.0,15179000000000.0,10606000000000.0,,6939000000000.0,12318000000000.0,4524000000000.0,,17296000000000.0,18134000000000.0,26570000000000.0,,19316000000000.0,17123000000000.0,14684000000000.0,,-1574000000000.0,11397000000000.0,10954000000000.0,,10868000000000.0,23989000000000.0,29161000000000.0,,36015000000000.0,24606000000000.0,27929000000000.0,,12331000000000.0,15607000000000.0,6035000000000.0,,20860000000000.0,22673000000000.0,19572000000000.0,,20341000000000.0,23146000000000.0,20882000000000.0,,17296000000000.0
Restructuring Charges ($mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36684000000000.0,3722000000000.0,14132000000000.0,0,0,0,0,0,0,0,0,0,0
Total Debt ($mm),500000000000000.0,500000000000000.0,500000000000000.0,500000000000000.0,500000000000000.0,500000000000000.0,500000000000000.0,500000000000000.0,500000000000000.0,750000000000000.0,750000000000000.0,2180000000000000.0,2052000000000000.0,1473054000000000.0,1341303000000000.0,1351352000000000.0,1341605000000000.0,1253849000000000.0,1253091000000000.0,1378218000000000.0,1734494000000000.0,1092873000000000.0,1213045000000000.0,1093301000000000.0,1593517000000000.0,1638228000000000.0,2357950000000000.0,2443649000000000.0,2737756000000000.0,2942055000000000.0,2977380000000000.0,3027359000000000.0,2825790000000000.0,2552221000000000.0,2246652000000000.0,1740487000000000.0,1980776000000000.0,1797066000000000.0,1711356000000000.0,1833441000000000.0,1857795000000000.0,1786152000000000.0,1183150000000000.0,1089438000000000.0
Total Shareholders' Equity ($mm),1058020000000000.0,1111851000000000.0,1131363000000000.0,1150450000000000.0,1191806000000000.0,1262840000000000.0,1269668000000000.0,1257847000000000.0,1315874000000000.0,1337208000000000.0,1354875000000000.0,1425745000000000.0,1484672000000000.0,1518159000000000.0,1566603000000000.0,1595087000000000.0,1652561000000000.0,1659311000000000.0,1673096000000000.0,1670730000000000.0,1587118000000000.0,1704328000000000.0,1873359000000000.0,1879933000000000.0,1868187000000000.0,1906170000000000.0,1950800000000000.0,2021934000000000.0,2095502000000000.0,2052415000000000.0,1677561000000000.0,1353422000000000.0,1381388000000000.0,1388107000000000.0,1404584000000000.0,1418697000000000.0,1429994000000000.0,1510441000000000.0,1640066000000000.0,1722051000000000.0,1734725000000000.0,1784387000000000.0,1857041000000000.0,1845647000000000.0
Cash & Equivalents ($mm),135783000000000.0,171451000000000.0,143087000000000.0,168229000000000.0,179406000000000.0,207083000000000.0,224449000000000.0,247666000000000.0,229794000000000.0,273182000000000.0,297307000000000.0,333890000000000.0,349782000000000.0,310575000000000.0,297801000000000.0,378615000000000.0,445473000000000.0,355307000000000.0,384424000000000.0,447858000000000.0,294572000000000.0,362236000000000.0,252569000000000.0,243796000000000.0,217611000000000.0,172803000000000.0,202649000000000.0,257413000000000.0,242809000000000.0,238925000000000.0,187532000000000.0,217482000000000.0,239160000000000.0,210155000000000.0,174733000000000.0,145524000000000.0,121838000000000.0,113166000000000.0,131704000000000.0,145762000000000.0,129942000000000.0,155993000000000.0,136837000000000.0,160871000000000.0
Goodwill ($mm),1097267000000000.0,1097579000000000.0,1097740000000000.0,1108337000000000.0,1109392000000000.0,1108761000000000.0,1275390000000000.0,1232796000000000.0,1240950000000000.0,1242918000000000.0,1275550000000000.0,1275816000000000.0,1273850000000000.0,1265778000000000.0,1265226000000000.0,1258922000000000.0,1283981000000000.0,1291715000000000.0,1285891000000000.0,1291760000000000.0,1450999000000000.0,1465755000000000.0,1473440000000000.0,1487187000000000.0,1483560000000000.0,1493711000000000.0,1486199000000000.0,1484754000000000.0,1488616000000000.0,1472855000000000.0,1458303000000000.0,1470813000000000.0,1470686000000000.0,1469407000000000.0,1465319000000000.0,1473600000000000.0,1467018000000000.0,1468605000000000.0,1446695000000000.0,1428965000000000.0,1432136000000000.0,1441198000000000.0,1441144000000000.0,1457976000000000.0
Acquired Intangibles ($mm),138541000000000.0,132450000000000.0,126353000000000.0,120242000000000.0,114182000000000.0,108072000000000.0,150027000000000.0,167525000000000.0,162945000000000.0,154124000000000.0,160595000000000.0,151585000000000.0,140874000000000.0,130254000000000.0,120216000000000.0,108822000000000.0,116367000000000.0,110869000000000.0,98683000000000.0,90931000000000.0,132013000000000.0,126589000000000.0,118741000000000.0,113910000000000.0,105969000000000.0,103640000000000.0,96025000000000.0,89606000000000.0,84011000000000.0,75789000000000.0,68122000000000.0,64026000000000.0,58397000000000.0,52591000000000.0,46579000000000.0,43662000000000.0,40127000000000.0,36763000000000.0,30987000000000.0,28193000000000.0,25735000000000.0,23322000000000.0,20748000000000.0,18174000000000.0
