Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,,2.8099e+16,2.9766e+16,2.886e+16,,3.1809e+16,3.2995e+16,3.2361e+16,,3.5069e+16,3.5396e+16,3.474e+16,,3.704e+16,3.9072e+16,3.7266e+16,,4.3208e+16,4.4769e+16,4.5277e+16,,5.0363e+16,5.1904e+16,5.2596e+16,,5.4437e+16,5.5266e+16,5.3648e+16,,5.7799e+16,5.8442e+16,5.8515e+16,,6.2151e+16,6.3723e+16,6.3205e+16,,6.7307e+16
Operating Income ($mm),877000000000000.0,821000000000000.0,,767000000000000.0,856000000000000.0,858000000000000.0,,849000000000000.0,844000000000000.0,968000000000000.0,,951000000000000.0,1016000000000000.0,1067000000000000.0,,949000000000000.0,1203000000000000.0,1122000000000000.0,,1061000000000000.0,1266000000000000.0,1179000000000000.0,,1430000000000000.0,1340000000000000.0,1663000000000000.0,,1693000000000000.0,1812000000000000.0,1791000000000000.0,,1751000000000000.0,1903000000000000.0,1679000000000000.0,,1984000000000000.0,2062000000000000.0,2197000000000000.0,,2196000000000000.0,2316000000000000.0,2530000000000000.0,,2463000000000000.0
Effective Tax Rate,0.3,0.3,,0.4,0.3,0.3,,0.3,0.4,0.3,,0.3,0.3,0.3,,0.2,0.3,0.2,,0.2,0.3,0.3,,0.2,0.3,0.3,,0.2,0.3,0.2,,0.2,0.3,0.3,,0.2,0.2,0.3,,,,,,
Stock-Based Compensation ($mm),86000000000000.0,65000000000000.0,,186000000000000.0,101000000000000.0,75000000000000.0,,211000000000000.0,111000000000000.0,82000000000000.0,,234000000000000.0,112000000000000.0,85000000000000.0,,270000000000000.0,119000000000000.0,93000000000000.0,,301000000000000.0,118000000000000.0,88000000000000.0,,341000000000000.0,122000000000000.0,87000000000000.0,,388000000000000.0,128000000000000.0,90000000000000.0,,402000000000000.0,147000000000000.0,94000000000000.0,,444000000000000.0,136000000000000.0,106000000000000.0,,463000000000000.0,151000000000000.0,106000000000000.0,,486000000000000.0
Restructuring Charges ($mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Debt ($mm),6230000000000000.0,7226000000000000.0,7418000000000000.0,7407000000000000.0,5064000000000000.0,6307000000000000.0,6261000000000000.0,6251000000000000.0,7329000000000000.0,5137000000000000.0,6745000000000000.0,6710000000000000.0,6749000000000000.0,6730000000000000.0,6703000000000000.0,6514000000000000.0,8223000000000000.0,8228000000000000.0,8551000000000000.0,8533000000000000.0,6124000000000000.0,1.0646e+16,7752000000000000.0,7768000000000000.0,7756000000000000.0,7722000000000000.0,8330000000000000.0,8303000000000000.0,6694000000000000.0,6695000000000000.0,73000000000000.0,71000000000000.0,76000000000000.0,0.0,1081000000000000.0,1080000000000000.0,1080000000000000.0,1077000000000000.0,103000000000000.0,97000000000000.0,98000000000000.0,178000000000000.0,75000000000000.0,70000000000000.0
Total Shareholders' Equity ($mm),1.0206e+16,1.0587e+16,1.0617e+16,1.0848e+16,1.1e+16,1.1505e+16,1.2079e+16,1.1973e+16,1.244e+16,9898000000000000.0,1.0778e+16,1.1078e+16,1.1754e+16,1.2143e+16,1.2799e+16,1.3167e+16,1.3858e+16,1.4486e+16,1.5243e+16,1.5861e+16,1.6614e+16,1.6802e+16,1.8284e+16,1.486e+16,1.5652e+16,1.6482e+16,1.7564e+16,1.8463e+16,1.9418e+16,1.9968e+16,2.0642e+16,2.1471e+16,2.2794e+16,2.3568e+16,2.5058e+16,2.6147e+16,2.076e+16,2.1771e+16,2.3622e+16,2.4451e+16,2.5577e+16,2.7125e+16,2.9164e+16,3.0303e+16
Cash & Equivalents ($mm),5866000000000000.0,5063000000000000.0,4801000000000000.0,5054000000000000.0,3633000000000000.0,4884000000000000.0,3379000000000000.0,4805000000000000.0,4744000000000000.0,4538000000000000.0,4546000000000000.0,5689000000000000.0,4781000000000000.0,5877000000000000.0,6055000000000000.0,6778000000000000.0,6080000000000000.0,7013000000000000.0,8384000000000000.0,9027000000000000.0,7786000000000000.0,1.0826e+16,1.2277e+16,1.359e+16,8637000000000000.0,1.0226e+16,1.1258e+16,1.2751e+16,1.1819e+16,1.1193e+16,1.0203e+16,1.0856e+16,1.297e+16,1.2493e+16,1.37e+16,1.7011e+16,9095000000000000.0,1.0404e+16,9906000000000000.0,1.0907e+16,1.2356e+16,1.3836e+16,1.4161e+16,1.6217e+16
Goodwill ($mm),,,,,,,,,,,,,,,,,,,53000000000000.0,,,987000000000000.0,988000000000000.0,,,,996000000000000.0,,,,993000000000000.0,,,,994000000000000.0,,,,994000000000000.0,,,,,
Acquired Intangibles ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Lease Liabilities ($mm),,,,,,,,,,,,,,,,,,,0.0,5053000000000000.0,5060000000000000.0,5293000000000000.0,5347000000000000.0,2574000000000000.0,2651000000000000.0,2641000000000000.0,5506000000000000.0,2649000000000000.0,2588000000000000.0,2452000000000000.0,5203000000000000.0,2503000000000000.0,2557000000000000.0,2507000000000000.0,5072000000000000.0,2401000000000000.0,2488000000000000.0,2386000000000000.0,4929000000000000.0,2288000000000000.0,2284000000000000.0,2463000000000000.0,5128000000000000.0,2436000000000000.0
Share Buybacks ($mm),,,,142000000000000.0,,,,122000000000000.0,,,,124000000000000.0,,,,32000000000000.0,,,,30000000000000.0,,,,80000000000000.0,,,,37000000000000.0,,,,141000000000000.0,,,,162000000000000.0,,,,207000000000000.0,,,,210000000000000.0
Headcount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Expenditures ($mm),612000000000000.0,421000000000000.0,,715000000000000.0,624000000000000.0,461000000000000.0,,667000000000000.0,516000000000000.0,540000000000000.0,,820000000000000.0,508000000000000.0,585000000000000.0,,730000000000000.0,587000000000000.0,672000000000000.0,,715000000000000.0,,,,893000000000000.0,,,,1055000000000000.0,,,,1057000000000000.0,,,,1040000000000000.0,,,,1264000000000000.0,,,,1526000000000000.0
Free Cash Flow ($mm),,,,,,,,,,,,,,,,1447000000000000.0,,,,1387000000000000.0,,,,1754000000000000.0,,,,2203000000000000.0,,,,1553000000000000.0,,,,3611000000000000.0,,,,1996000000000000.0,,,,3162000000000000.0
Market Cap ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
