Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,,,,2397000000000000.0,2577000000000000.0,2701000000000000.0,2865000000000000.0,3006000000000000.0,3281000000000000.0,3392000000000000.0,3603000000000000.0,3737000000000000.0,3997000000000000.0,4513000000000000.0,4851000000000000.0,4865000000000000.0,5151000000000000.0,5419000000000000.0,,5963000000000000.0,6340000000000000.0,6863000000000000.0,,7411000000000000.0,7720000000000000.0,7837000000000000.0,,8247000000000000.0,8603000000000000.0,8720000000000000.0,,9133000000000000.0,9325000000000000.0,9444000000000000.0,,9829000000000000.0,1.0236e+16,1.0259e+16
Operating Income ($mm),-34816000000000.0,31105000000000.0,19824000000000.0,43434000000000.0,20560000000000.0,51986000000000.0,32551000000000.0,3036000000000.0,-23345000000000.0,-8882000000000.0,50793000000000.0,115988000000000.0,77869000000000.0,191000000000000.0,115000000000000.0,92000000000000.0,137000000000000.0,210000000000000.0,58000000000000.0,65000000000000.0,-36000000000000.0,-140000000000000.0,178000000000000.0,224000000000000.0,,354000000000000.0,332000000000000.0,38000000000000.0,,20000000000000.0,193000000000000.0,460000000000000.0,,412000000000000.0,1476000000000000.0,1501000000000000.0,,1709000000000000.0,1783000000000000.0,1893000000000000.0,,1942000000000000.0,2332000000000000.0,2188000000000000.0
Effective Tax Rate,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.2,0.4,0.6,,,,0.6,,0.4,0.2,0.2,,0.2,0.2,0.1,,0.2,0.2,0.2
Stock-Based Compensation ($mm),,142560000000000.0,147779000000000.0,144317000000000.0,,188919000000000.0,182310000000000.0,204751000000000.0,,251569000000000.0,256485000000000.0,251277000000000.0,,252000000000000.0,351000000000000.0,351000000000000.0,,343000000000000.0,388000000000000.0,543000000000000.0,,504000000000000.0,578000000000000.0,566000000000000.0,,564000000000000.0,640000000000000.0,812000000000000.0,,776000000000000.0,851000000000000.0,843000000000000.0,,696000000000000.0,724000000000000.0,693000000000000.0,,750000000000000.0,810000000000000.0,820000000000000.0,,814000000000000.0,793000000000000.0,819000000000000.0
Restructuring Charges ($mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,711000000000000.0,49000000000000.0,55000000000000.0,0,8000000000000.0,99000000000000.0,56000000000000.0,0,36000000000000.0,4000000000000.0,260000000000000.0
Total Debt ($mm),,,,,,,,,0.0,,,,2751821000000000.0,3203000000000000.0,4203000000000000.0,4202000000000000.0,3201000000000000.0,3201000000000000.0,3000000000000000.0,2848000000000000.0,2698000000000000.0,2697000000000000.0,2695000000000000.0,2695000000000000.0,2681000000000000.0,2693000000000000.0,1.3273e+16,1.0631e+16,1.06e+16,1.1599e+16,1.1782e+16,1.1782e+16,1.1783e+16,9783000000000000.0,1.0422e+16,1.0424e+16,1.0425e+16,1.0429e+16,8430000000000000.0,8432000000000000.0,8433000000000000.0,8435000000000000.0,8436000000000000.0,8438000000000000.0
Total Shareholders' Equity ($mm),3975183000000000.0,4235203000000000.0,4535803000000000.0,4749954000000000.0,5003000000000000.0,5584264000000000.0,6132576000000000.0,6806037000000000.0,8230000000000000.0,7934488000000000.0,9219000000000000.0,9662000000000000.0,1.0376e+16,1.106e+16,1.3527e+16,1.4693e+16,1.5605e+16,1.6446e+16,1.7166e+16,3.3279e+16,3.3885e+16,3.4565e+16,3.844e+16,4.031e+16,4.1493e+16,4.2567e+16,5.552e+16,5.7054e+16,5.8131e+16,5.8876e+16,6.0098e+16,5.9351e+16,5.8359e+16,5.7412e+16,5.8082e+16,5.809e+16,5.9646e+16,5.9683e+16,5.7633e+16,5.8525e+16,6.1173e+16,6.0666e+16,6.1328e+16,6.0021e+16
Cash & Equivalents ($mm),908117000000000.0,941956000000000.0,1089351000000000.0,1223318000000000.0,1158000000000000.0,1799083000000000.0,1115226000000000.0,1145736000000000.0,1607000000000000.0,2025000000000000.0,1949000000000000.0,2072000000000000.0,2543000000000000.0,5922000000000000.0,2319000000000000.0,2105000000000000.0,2669000000000000.0,4110000000000000.0,3510000000000000.0,3868000000000000.0,4145000000000000.0,5772000000000000.0,4052000000000000.0,3724000000000000.0,6195000000000000.0,8544000000000000.0,6299000000000000.0,4753000000000000.0,5464000000000000.0,6859000000000000.0,6931000000000000.0,6076000000000000.0,7016000000000000.0,9155000000000000.0,6772000000000000.0,6453000000000000.0,8472000000000000.0,9958000000000000.0,7682000000000000.0,7997000000000000.0,8848000000000000.0,1.0928e+16,1.0365e+16,8978000000000000.0
Goodwill ($mm),3782660000000000.0,3791583000000000.0,3804288000000000.0,3849054000000000.0,3849937000000000.0,4129656000000000.0,6029895000000000.0,6616999000000000.0,7264000000000000.0,7290025000000000.0,7294381000000000.0,7294141000000000.0,7314000000000000.0,7444000000000000.0,1.2254e+16,1.2848e+16,1.2851e+16,1.2854e+16,1.3199e+16,2.5022e+16,2.5134e+16,2.5266e+16,2.6301e+16,2.6313e+16,2.6318e+16,2.664e+16,4.8103e+16,4.7951e+16,4.7937e+16,4.8319e+16,4.8568e+16,4.8555e+16,4.8568e+16,4.8567e+16,4.8566e+16,4.8614e+16,4.862e+16,4.894e+16,4.8941e+16,4.9093e+16,5.1283e+16,5.1281e+16,5.1438e+16,5.2457e+16
Acquired Intangibles ($mm),,,,,490006000000000.0,,,,1113374000000000.0,1041384000000000.0,965887000000000.0,895768000000000.0,827000000000000.0,815000000000000.0,1976000000000000.0,2053000000000000.0,1923000000000000.0,1794000000000000.0,1725000000000000.0,4987000000000000.0,4724000000000000.0,4488000000000000.0,4676000000000000.0,4398000000000000.0,4114000000000000.0,3925000000000000.0,9746000000000000.0,9472000000000000.0,8978000000000000.0,8559000000000000.0,8072000000000000.0,7598000000000000.0,7125000000000000.0,6654000000000000.0,6182000000000000.0,5737000000000000.0,5278000000000000.0,4869000000000000.0,4415000000000000.0,4119000000000000.0,4428000000000000.0,4033000000000000.0,3669000000000000.0,3491000000000000.0
