Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,,,,,,,,47289000000000.0,55701000000000.0,66379000000000.0,,96077000000000.0,108108000000000.0,125119000000000.0,,178078000000000.0,198971000000000.0,232460000000000.0,,302843000000000.0,337690000000000.0,380051000000000.0,,487834000000000.0,535153000000000.0,580882000000000.0,,692580000000000.0,731626000000000.0,786014000000000.0,,921036000000000.0,963872000000000.0,1010178000000000.0,,1103434000000000.0,1168952000000000.0,1234244000000000.0
Operating Income ($mm),,,,,,,,,,,,,,-33114000000000.0,-30427000000000.0,-42091000000000.0,,-25775000000000.0,-50639000000000.0,-38518000000000.0,,-22576000000000.0,-29991000000000.0,-24159000000000.0,,-31347000000000.0,-47403000000000.0,-40264000000000.0,,-23883000000000.0,-48307000000000.0,-56422000000000.0,,-19456000000000.0,-15373000000000.0,3163000000000.0,,6936000000000.0,13658000000000.0,-55723000000000.0,,-124656000000000.0,-112979000000000.0,-69443000000000.0
Effective Tax Rate,,,,,,,,,,,,,,-0.0,-0.0,-0.0,,-0.0,-0.0,-0.0,,-0.1,-0.0,-0.0,,1.4,0.1,0.1,,0.1,0.1,0.2,,-0.9,-0.4,-0.3,,-0.1,-0.2,0.6,,-0.2,-0.1,-0.5
Stock-Based Compensation ($mm),,,,,,,,,,,,,,1719000000000.0,,-5060000000000.0,,3752000000000.0,,-35072000000000.0,,23638000000000.0,,-22021000000000.0,,54362000000000.0,,-67640000000000.0,,102494000000000.0,,-64205000000000.0,,130856000000000.0,,71257000000000.0,,183125000000000.0,,38629000000000.0,,253604000000000.0,,42693000000000.0
Restructuring Charges ($mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38384000000000.0,466000000000.0
Total Debt ($mm),,,,,,,,,,,,,,,,,,,,,0.0,,,,738029000000000.0,738400000000000.0,738772000000000.0,739145000000000.0,739517000000000.0,739889000000000.0,740261000000000.0,740633000000000.0,741005000000000.0,741377000000000.0,741750000000000.0,742122000000000.0,742494000000000.0,742866000000000.0,743238000000000.0,743610000000000.0,743983000000000.0,744355000000000.0,744727000000000.0,745099000000000.0
Total Shareholders' Equity ($mm),,,,,,,,,,,,,-369474000000000.0,-400939000000000.0,-433429000000000.0,-461353000000000.0,-487793000000000.0,-485177000000000.0,728097000000000.0,717042000000000.0,742107000000000.0,752153000000000.0,790965000000000.0,813485000000000.0,870574000000000.0,849264000000000.0,904268000000000.0,948182000000000.0,1025764000000000.0,1102541000000000.0,1225419000000000.0,1314289000000000.0,1463641000000000.0,1605301000000000.0,1838207000000000.0,2028950000000000.0,2303950000000000.0,2535540000000000.0,2852915000000000.0,3057933000000000.0,3279494000000000.0,3450877000000000.0,3756680000000000.0,4016497000000000.0
Cash & Equivalents ($mm),,,,,,,,,,,,,,,,,88408000000000.0,92993000000000.0,732808000000000.0,743605000000000.0,264798000000000.0,1004991000000000.0,1064734000000000.0,1059926000000000.0,1918608000000000.0,1684997000000000.0,1787051000000000.0,1907508000000000.0,1996633000000000.0,2152736000000000.0,2318858000000000.0,2466551000000000.0,2455369000000000.0,2829677000000000.0,3167215000000000.0,2968872000000000.0,3375069000000000.0,3702437000000000.0,4038536000000000.0,4260324000000000.0,4323295000000000.0,4614153000000000.0,4972436000000000.0,4801083000000000.0
Goodwill ($mm),,,,,,,,,,,,,,,,,7947000000000.0,7809000000000.0,7780000000000.0,7794000000000.0,7722000000000.0,7652000000000.0,8131000000000.0,83132000000000.0,83566000000000.0,374581000000000.0,374310000000000.0,373889000000000.0,416445000000000.0,416228000000000.0,416066000000000.0,430285000000000.0,430645000000000.0,430755000000000.0,430697000000000.0,637678000000000.0,638041000000000.0,721973000000000.0,721996000000000.0,722016000000000.0,912805000000000.0,913285000000000.0,913325000000000.0,1352927000000000.0
Acquired Intangibles ($mm),,,,,,,,,,,,,,,,,1048000000000.0,879000000000.0,738000000000.0,637000000000.0,527000000000.0,419000000000.0,347000000000.0,16356000000000.0,15677000000000.0,88851000000000.0,85580000000000.0,82870000000000.0,97336000000000.0,93945000000000.0,89840000000000.0,89500000000000.0,86889000000000.0,83215000000000.0,79139000000000.0,109423000000000.0,114518000000000.0,122024000000000.0,115686000000000.0,109354000000000.0,133114000000000.0,125486000000000.0,117858000000000.0,144405000000000.0
