Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,,,,,,,316300000000000.0,339200000000000.0,360300000000000.0,375900000000000.0,385600000000000.0,401500000000000.0,428200000000000.0,446000000000000.0,455000000000000.0,467400000000000.0,487400000000000.0,504100000000000.0,511600000000000.0,530600000000000.0,550200000000000.0,565500000000000.0,562400000000000.0,572700000000000.0,591000000000000.0,598800000000000.0,611100000000000.0,622500000000000.0,633000000000000.0,635000000000000.0,631300000000000.0,634500000000000.0,638800000000000.0,643600000000000.0,624700000000000.0,625700000000000.0,634400000000000.0,
Operating Income ($mm),,,,,,,,,-33400000000000.0,-26700000000000.0,-16300000000000.0,-37300000000000.0,-465900000000000.0,-7200000000000.0,-8900000000000.0,-12000000000000.0,-21300000000000.0,-34000000000000.0,-18600000000000.0,-6600000000000.0,26800000000000.0,12800000000000.0,30000000000000.0,-346600000000000.0,42500000000000.0,84400000000000.0,77300000000000.0,70200000000000.0,89500000000000.0,82900000000000.0,89300000000000.0,-80400000000000.0,84100000000000.0,56500000000000.0,130700000000000.0,267400000000000.0,143500000000000.0,127000000000000.0,127800000000000.0,87900000000000.0,183800000000000.0,168400000000000.0,174700000000000.0,
Effective Tax Rate,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.3,0.4,0.0,0.1,,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.2,0.2,,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.2,
Stock-Based Compensation ($mm),,,,,,,,,38800000000000.0,38700000000000.0,,47400000000000.0,486500000000000.0,55100000000000.0,,53500000000000.0,55600000000000.0,68100000000000.0,,69300000000000.0,39800000000000.0,76600000000000.0,,69400000000000.0,67900000000000.0,73900000000000.0,,72500000000000.0,72300000000000.0,85000000000000.0,,87300000000000.0,76000000000000.0,95300000000000.0,,82900000000000.0,78000000000000.0,90500000000000.0,,85700000000000.0,67100000000000.0,77700000000000.0,,
Restructuring Charges ($mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Debt ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Shareholders' Equity ($mm),,,,185600000000000.0,,,,122800000000000.0,,,,102900000000000.0,510100000000000.0,630900000000000.0,643500000000000.0,676800000000000.0,704900000000000.0,730200000000000.0,762600000000000.0,808400000000000.0,800400000000000.0,803400000000000.0,851300000000000.0,333800000000000.0,-83000000000000.0,-94800000000000.0,-162600000000000.0,-293900000000000.0,-463300000000000.0,-542900000000000.0,-591300000000000.0,-309400000000000.0,-365200000000000.0,-411900000000000.0,-350300000000000.0,-165800000000000.0,-277200000000000.0,-371300000000000.0,-546100000000000.0,-752400000000000.0,-1075700000000000.0,-1305500000000000.0,-1531200000000000.0,
Cash & Equivalents ($mm),,,,356900000000000.0,,,,352700000000000.0,351200000000000.0,395700000000000.0,422700000000000.0,430000000000000.0,665300000000000.0,504100000000000.0,536200000000000.0,519300000000000.0,359200000000000.0,343600000000000.0,443200000000000.0,551300000000000.0,486400000000000.0,334200000000000.0,452700000000000.0,314900000000000.0,845500000000000.0,885300000000000.0,688900000000000.0,533000000000000.0,445500000000000.0,352100000000000.0,372000000000000.0,232800000000000.0,332700000000000.0,510300000000000.0,604300000000000.0,614900000000000.0,548900000000000.0,515100000000000.0,517600000000000.0,1328300000000000.0,942200000000000.0,736300000000000.0,730700000000000.0,
Goodwill ($mm),,,,,,,,96000000000000.0,,,,98900000000000.0,99000000000000.0,97800000000000.0,98000000000000.0,96500000000000.0,230400000000000.0,230900000000000.0,231800000000000.0,234500000000000.0,233300000000000.0,234700000000000.0,234300000000000.0,236900000000000.0,346000000000000.0,346800000000000.0,347200000000000.0,356600000000000.0,355900000000000.0,353900000000000.0,352600000000000.0,403300000000000.0,402500000000000.0,402100000000000.0,400500000000000.0,402200000000000.0,401800000000000.0,411900000000000.0,442700000000000.0,442800000000000.0,442600000000000.0,452300000000000.0,453400000000000.0,
Acquired Intangibles ($mm),,,,,,,,,,,,17000000000000.0,17900000000000.0,16300000000000.0,15200000000000.0,14700000000000.0,57400000000000.0,53700000000000.0,50100000000000.0,47400000000000.0,44400000000000.0,40500000000000.0,37000000000000.0,33500000000000.0,53000000000000.0,48900000000000.0,49600000000000.0,53600000000000.0,50000000000000.0,46500000000000.0,42600000000000.0,88300000000000.0,80800000000000.0,73500000000000.0,65800000000000.0,58100000000000.0,51600000000000.0,56400000000000.0,62200000000000.0,54900000000000.0,48800000000000.0,42500000000000.0,40400000000000.0,
