Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,,,,,,,,,,,,,,,,40011000000000.0,45305000000000.0,48268000000000.0,55360000000000.0,58803000000000.0,63595000000000.0,73014000000000.0,81220000000000.0,88386000000000.0,96065000000000.0,103824000000000.0,115661000000000.0,126839000000000.0,137624000000000.0,150985000000000.0,167553000000000.0,178327000000000.0,192594000000000.0,209550000000000.0,230743000000000.0,252265000000000.0,271713000000000.0,
Operating Income ($mm),,,,,,,,,,,,,,,,,,,,,,82000000000.0,-3067000000000.0,-10571000000000.0,-13414000000000.0,-478000000000.0,-28700000000000.0,-17415000000000.0,-11847000000000.0,-15034000000000.0,-20162000000000.0,-18152000000000.0,-8519000000000.0,-4865000000000.0,-4670000000000.0,4795000000000.0,16439000000000.0,18700000000000.0,13574000000000.0,13882000000000.0,23594000000000.0,33363000000000.0,35159000000000.0,
Effective Tax Rate,,,,,,,,,,,,,,,,,,,,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.2,0.0,0.2,0.1,0.4,0.0,0.0,,
Stock-Based Compensation ($mm),,,,,,,,,,,,,,,,,,,,,,,,12514000000000.0,2551000000000.0,2907000000000.0,,14684000000000.0,14586000000000.0,18114000000000.0,20488000000000.0,20632000000000.0,21073000000000.0,23714000000000.0,25432000000000.0,25002000000000.0,24985000000000.0,26746000000000.0,,29787000000000.0,31018000000000.0,34592000000000.0,,
Restructuring Charges ($mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Debt ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Shareholders' Equity ($mm),,,,,,,,,,,,,,,,,,,,-83976000000000.0,-84773000000000.0,-82884000000000.0,-83698000000000.0,-80691000000000.0,-97785000000000.0,-93777000000000.0,510731000000000.0,513056000000000.0,520714000000000.0,528219000000000.0,533826000000000.0,542078000000000.0,565188000000000.0,596405000000000.0,614819000000000.0,655501000000000.0,711052000000000.0,766944000000000.0,822453000000000.0,824550000000000.0,893826000000000.0,977031000000000.0,1307539000000000.0,
Cash & Equivalents ($mm),,,,,,,,,,,,,,,,,,,,,,,,120490000000000.0,,114636000000000.0,549440000000000.0,553922000000000.0,577331000000000.0,591160000000000.0,599967000000000.0,608180000000000.0,641091000000000.0,678665000000000.0,701737000000000.0,747610000000000.0,829713000000000.0,888240000000000.0,854409000000000.0,785791000000000.0,883996000000000.0,976231000000000.0,1011542000000000.0,
Goodwill ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,4050000000000.0,4050000000000.0,4050000000000.0,4050000000000.0,4050000000000.0,4050000000000.0,4050000000000.0,10538000000000.0,10538000000000.0,10538000000000.0,10538000000000.0,35335000000000.0,
Acquired Intangibles ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,4566000000000.0,,,,8497000000000.0,8475000000000.0,10396000000000.0,13766000000000.0,15995000000000.0,18595000000000.0,20586000000000.0,21900000000000.0,19899000000000.0,18872000000000.0,19924000000000.0,27968000000000.0,
Operating Lease Liabilities ($mm),,,,,,,,,,,,,,,,,,,,,,,,8131000000000.0,,7810000000000.0,8401000000000.0,61584000000000.0,28022000000000.0,25505000000000.0,24243000000000.0,51909000000000.0,22378000000000.0,21292000000000.0,20961000000000.0,46132000000000.0,110536000000000.0,112006000000000.0,111918000000000.0,111893000000000.0,54533000000000.0,132807000000000.0,190580000000000.0,
Share Buybacks ($mm),,,,,,,,,,,,,,,,,,,,,,,,0.0,868000000000.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,
Headcount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Expenditures ($mm),,,,,,,,,,,,,,,,,,,,,,,,819000000000.0,839000000000.0,1139000000000.0,,523000000000.0,1327000000000.0,1864000000000.0,,292000000000.0,681000000000.0,827000000000.0,,924000000000.0,1414000000000.0,5563000000000.0,,1961000000000.0,1309000000000.0,1198000000000.0,,
Free Cash Flow ($mm),,,,,,,,,,,,,,,,,,,,,,,,2862000000000.0,4284000000000.0,-2035000000000.0,,-91000000000.0,19300000000000.0,10798000000000.0,,11316000000000.0,28923000000000.0,36340000000000.0,,48269000000000.0,82100000000000.0,56825000000000.0,,81383000000000.0,104322000000000.0,89477000000000.0,,
Market Cap ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
