Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,,,2.475e+16,2.601e+16,2.7772e+16,3.2323e+16,3.1146e+16,3.2657e+16,3.374e+16,3.9276e+16,3.6339e+16,3.8944e+16,4.0499e+16,4.6075e+16,4.1159e+16,3.8297e+16,4.6173e+16,5.6898e+16,5.5314e+16,6.188e+16,6.5118e+16,7.5325e+16,6.8011e+16,6.9685e+16,6.9092e+16,7.6048e+16,6.9787e+16,7.4604e+16,7.6693e+16,8.631e+16,8.0539e+16,8.4742e+16,8.8268e+16,9.6469e+16,9.0234e+16,,,
Operating Income ($mm),4447000000000000.0,4825000000000000.0,4708000000000000.0,5380000000000000.0,5342000000000000.0,5968000000000000.0,5767000000000000.0,6639000000000000.0,6568000000000000.0,4132000000000000.0,7782000000000000.0,7696000000000000.0,7001000000000000.0,2807000000000000.0,8310000000000000.0,8221000000000000.0,6608000000000000.0,9180000000000000.0,9177000000000000.0,9266000000000000.0,7977000000000000.0,6383000000000000.0,1.1213e+16,1.5651e+16,1.6437e+16,1.9361e+16,2.1031e+16,2.1885e+16,2.0094e+16,1.9453e+16,1.7135e+16,1.816e+16,1.7415e+16,2.1838e+16,2.1343e+16,2.3697e+16,2.5472e+16,2.7425e+16,2.8521e+16,3.0972e+16,3.0606e+16,3.1271e+16,3.1228e+16,3.5934e+16
Effective Tax Rate,,,,,,,,,,,,,0.1,0.1,0.1,,0.2,-0.0,0.2,,,0.2,0.2,0.0,0.2,0.2,0.2,-0.0,0.1,0.2,0.1,0.0,0.2,0.2,0.1,0.0,0.2,0.1,0.2,0.0,0.2,0.2,0.2,-0.0
Stock-Based Compensation ($mm),1203000000000000.0,1132000000000000.0,,1436000000000000.0,1494000000000000.0,1503000000000000.0,1860000000000000.0,1846000000000000.0,2009000000000000.0,2003000000000000.0,1820000000000000.0,1847000000000000.0,2457000000000000.0,2413000000000000.0,2230000000000000.0,2253000000000000.0,2769000000000000.0,2756000000000000.0,,2645000000000000.0,3191000000000000.0,3382000000000000.0,,3223000000000000.0,3745000000000000.0,3803000000000000.0,,3954000000000000.0,4504000000000000.0,4782000000000000.0,,5100000000000000.0,5284000000000000.0,5774000000000000.0,,5659000000000000.0,5264000000000000.0,5865000000000000.0,,5810000000000000.0,5516000000000000.0,5998000000000000.0,,7071000000000000.0
Restructuring Charges ($mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2558000000000000.0,70000000000000.0,102000000000000.0,1203000000000000.0,0,0,0,0,0,0,0,0
Total Debt ($mm),,,1994000000000000.0,3995000000000000.0,1987000000000000.0,1984000000000000.0,3938000000000000.0,3935000000000000.0,,3955000000000000.0,3964000000000000.0,3969000000000000.0,5273000000000000.0,3981000000000000.0,3986000000000000.0,4012000000000000.0,4066000000000000.0,4074000000000000.0,4082000000000000.0,4554000000000000.0,5016000000000000.0,4018000000000000.0,1.4901e+16,1.4931e+16,1.4887e+16,1.4328e+16,1.4288e+16,1.4817e+16,1.4791e+16,1.4734e+16,1.4653e+16,1.4701e+16,1.4696e+16,1.4704e+16,1.4781e+16,1.287e+16,1.3228e+16,1.3238e+16,1.4296e+16,1.4182e+16,1.4386e+16,4000000000000000.0,4995000000000000.0,1996000000000000.0
Total Shareholders' Equity ($mm),,,1.16241e+17,1.20331e+17,1.23569e+17,1.27879e+17,1.34103e+17,1.39036e+17,1.44949e+17,1.48286e+17,1.571e+17,1.52502e+17,1.60825e+17,1.62e+17,1.6984e+17,1.77628e+17,1.83472e+17,1.92192e+17,1.94969e+17,2.01442e+17,2.03659e+17,2.07322e+17,2.1292e+17,2.22544e+17,2.30013e+17,2.37565e+17,2.44567e+17,2.51635e+17,2.54004e+17,2.55419e+17,2.53626e+17,2.56144e+17,2.60894e+17,2.67141e+17,2.73202e+17,2.83379e+17,2.92844e+17,3.00753e+17,3.14119e+17,3.25084e+17,3.45267e+17,3.62916e+17,3.86867e+17,4.15265e+17
Cash & Equivalents ($mm),1.6976e+16,1.8453e+16,1.8068e+16,1.6549e+16,1.5111e+16,1.3627e+16,9406000000000000.0,1.2918e+16,1.8132e+16,1.5711e+16,1.0581e+16,1.0715e+16,1.2658e+16,1.4148e+16,1.3443e+16,1.6701e+16,1.9148e+16,1.6587e+16,1.6032e+16,1.8498e+16,1.9644e+16,1.7742e+16,2.0129e+16,2.6465e+16,2.6622e+16,2.363e+16,2.3719e+16,2.0945e+16,2.0886e+16,1.7936e+16,2.1984e+16,2.1879e+16,2.5924e+16,2.5929e+16,3.0702e+16,2.4048e+16,2.4493e+16,2.7225e+16,1.9959e+16,2.3466e+16,2.3264e+16,2.1036e+16,2.309e+16,3.0708e+16
Goodwill ($mm),,,1.5675e+16,1.5869e+16,1.5866e+16,1.5841e+16,1.6028e+16,1.6468e+16,1.6547e+16,1.6604e+16,1.6731e+16,1.6747e+16,1.7862e+16,1.7895e+16,1.7895e+16,1.7888e+16,1.7943e+16,1.8e+16,1.8069e+16,2.0624e+16,2.0734e+16,2.0824e+16,2.087e+16,2.1175e+16,2.2341e+16,2.2406e+16,2.2623e+16,2.2956e+16,2.301e+16,2.3949e+16,2.8834e+16,2.896e+16,2.8994e+16,2.921e+16,2.9146e+16,2.9198e+16,2.9183e+16,2.9185e+16,3.1935e+16,3.1885e+16,3.2173e+16,3.2335e+16,3.3269e+16,3.338e+16
Acquired Intangibles ($mm),,,,3847000000000000.0,3657000000000000.0,3452000000000000.0,3367000000000000.0,3307000000000000.0,3137000000000000.0,2933000000000000.0,2883000000000000.0,2692000000000000.0,2809000000000000.0,2662000000000000.0,2448000000000000.0,2220000000000000.0,2063000000000000.0,1902000000000000.0,1747000000000000.0,1979000000000000.0,1840000000000000.0,1697000000000000.0,1520000000000000.0,1445000000000000.0,1823000000000000.0,1626000000000000.0,1549000000000000.0,1417000000000000.0,1313000000000000.0,1377000000000000.0,2192000000000000.0,2084000000000000.0,1968000000000000.0,1966000000000000.0,1833000000000000.0,,,,,,,,,
