Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),2.6839e+16,2.5453e+16,2.5349e+16,1.2266e+16,1.2246e+16,1.1588e+16,1.1892e+16,1.2512e+16,1.2684e+16,1.2385e+16,1.306e+16,1.3927e+16,1.4517e+16,1.4003e+16,1.4586e+16,1.5366e+16,1.471e+16,1.4036e+16,1.4603e+16,1.5407e+16,1.4618e+16,1.2469e+16,1.4294e+16,1.5257e+16,1.5646e+16,1.5877e+16,1.5289e+16,1.6648e+16,1.7028e+16,1.649e+16,1.4664e+16,1.4774e+16,1.3828e+16,1.2913e+16,1.3196e+16,1.3817e+16,1.3185e+16,1.28e+16,1.3519e+16,1.4055e+16,1.3504e+16,1.322e+16,1.3932e+16,1.4639e+16
Operating Income ($mm),1920000000000000.0,1431000000000000.0,1212000000000000.0,798000000000000.0,928000000000000.0,841000000000000.0,1117000000000000.0,663000000000000.0,856000000000000.0,818000000000000.0,955000000000000.0,739000000000000.0,973000000000000.0,964000000000000.0,1080000000000000.0,994000000000000.0,926000000000000.0,928000000000000.0,1079000000000000.0,944000000000000.0,865000000000000.0,826000000000000.0,779000000000000.0,972000000000000.0,1321000000000000.0,1362000000000000.0,1381000000000000.0,1295000000000000.0,1359000000000000.0,1278000000000000.0,1272000000000000.0,741000000000000.0,765000000000000.0,762000000000000.0,952000000000000.0,1014000000000000.0,935000000000000.0,952000000000000.0,940000000000000.0,991000000000000.0,845000000000000.0,654000000000000.0,716000000000000.0,959000000000000.0
Effective Tax Rate,0.2,0.2,0.2,-0.3,0.2,0.2,0.2,0.1,0.2,0.3,0.2,-0.0,1.1,11.6,0.1,0.2,0.1,0.1,-3.8,0.1,0.2,0.1,0.0,0.0,0.2,0.1,0.2,-0.0,0.2,0.2,0.1,0.1,0.2,-0.8,0.2,-0.0,0.2,0.2,0.2,-0.1,0.2,0.2,-0.2,-0.0
Stock-Based Compensation ($mm),187000000000000.0,129000000000000.0,,233000000000000.0,61000000000000.0,40000000000000.0,,42000000000000.0,75000000000000.0,48000000000000.0,,55000000000000.0,85000000000000.0,63000000000000.0,,65000000000000.0,107000000000000.0,66000000000000.0,,64000000000000.0,109000000000000.0,63000000000000.0,,57000000000000.0,115000000000000.0,76000000000000.0,,70000000000000.0,133000000000000.0,70000000000000.0,,70000000000000.0,167000000000000.0,95000000000000.0,,85000000000000.0,177000000000000.0,94000000000000.0,,85000000000000.0,192000000000000.0,140000000000000.0,,90000000000000.0
Restructuring Charges ($mm),146000000000000.0,255000000000000.0,25000000000000.0,-363000000000000.0,20000000000000.0,100000000000000.0,0,36000000000000.0,32000000000000.0,118000000000000.0,0,56000000000000.0,18000000000000.0,46000000000000.0,-8000000000000.0,43000000000000.0,53000000000000.0,63000000000000.0,14000000000000.0,117000000000000.0,257000000000000.0,28000000000000.0,46000000000000.0,36000000000000.0,117000000000000.0,34000000000000.0,48000000000000.0,30000000000000.0,67000000000000.0,78000000000000.0,6000000000000.0,57000000000000.0,131000000000000.0,178000000000000.0,50000000000000.0,85000000000000.0,48000000000000.0,54000000000000.0,30000000000000.0,101000000000000.0,56000000000000.0,105000000000000.0,91000000000000.0,75000000000000.0
Total Debt ($mm),1.5552e+16,1.5464e+16,1.4468e+16,6677000000000000.0,6683000000000000.0,6708000000000000.0,6760000000000000.0,6735000000000000.0,6688000000000000.0,6710000000000000.0,6744000000000000.0,6747000000000000.0,6340000000000000.0,4494000000000000.0,4503000000000000.0,4524000000000000.0,4706000000000000.0,4749000000000000.0,4730000000000000.0,5087000000000000.0,4810000000000000.0,4822000000000000.0,6213000000000000.0,6176000000000000.0,6144000000000000.0,6108000000000000.0,7079000000000000.0,7058000000000000.0,7030000000000000.0,8969000000000000.0,1.0952e+16,165000000000000.0,171000000000000.0,166000000000000.0,178000000000000.0,179000000000000.0,193000000000000.0,199000000000000.0,1335000000000000.0,1358000000000000.0,1363000000000000.0,1392000000000000.0,772000000000000.0,788000000000000.0
Total Shareholders' Equity ($mm),2.6507e+16,2.6768e+16,2.7035e+16,2.7768e+16,-4909000000000000.0,-4786000000000000.0,-3926000000000000.0,-3889000000000000.0,-4327000000000000.0,-3955000000000000.0,-4339000000000000.0,-3408000000000000.0,-2742000000000000.0,-1863000000000000.0,-1767000000000000.0,-639000000000000.0,-1837000000000000.0,-1487000000000000.0,-1131000000000000.0,-1193000000000000.0,-1634000000000000.0,-743000000000000.0,-1986000000000000.0,-2275000000000000.0,-3235000000000000.0,-3360000000000000.0,-3942000000000000.0,-1644000000000000.0,-2328000000000000.0,-1960000000000000.0,-2376000000000000.0,-3025000000000000.0,-3827000000000000.0,-2593000000000000.0,-2245000000000000.0,-1069000000000000.0,-1640000000000000.0,-916000000000000.0,-1392000000000000.0,-1323000000000000.0,-1072000000000000.0,-1276000000000000.0,-901000000000000.0,-346000000000000.0
Cash & Equivalents ($mm),1.2919e+16,1.4768e+16,1.7171e+16,1.7433e+16,3688000000000000.0,4636000000000000.0,5636000000000000.0,6288000000000000.0,6331000000000000.0,6223000000000000.0,6967000000000000.0,6997000000000000.0,5475000000000000.0,4247000000000000.0,6195000000000000.0,5166000000000000.0,3367000000000000.0,3556000000000000.0,4919000000000000.0,4537000000000000.0,4205000000000000.0,4054000000000000.0,4679000000000000.0,4864000000000000.0,4160000000000000.0,3424000000000000.0,3439000000000000.0,4299000000000000.0,3394000000000000.0,4477000000000000.0,5386000000000000.0,3145000000000000.0,1405000000000000.0,1923000000000000.0,1673000000000000.0,3107000000000000.0,2263000000000000.0,2442000000000000.0,2785000000000000.0,3238000000000000.0,2880000000000000.0,2697000000000000.0,2871000000000000.0,3690000000000000.0
Goodwill ($mm),3.1108e+16,3.1218e+16,3.3025e+16,5680000000000000.0,5680000000000000.0,5672000000000000.0,5618000000000000.0,5622000000000000.0,5622000000000000.0,5622000000000000.0,5622000000000000.0,5622000000000000.0,5935000000000000.0,5941000000000000.0,5930000000000000.0,5968000000000000.0,6343000000000000.0,6349000000000000.0,6330000000000000.0,6372000000000000.0,6387000000000000.0,6370000000000000.0,6386000000000000.0,6380000000000000.0,6404000000000000.0,6524000000000000.0,6628000000000000.0,6803000000000000.0,6821000000000000.0,6801000000000000.0,6809000000000000.0,8541000000000000.0,8592000000000000.0,8618000000000000.0,8614000000000000.0,8591000000000000.0,8610000000000000.0,8590000000000000.0,8606000000000000.0,8627000000000000.0,8599000000000000.0,8713000000000000.0,8714000000000000.0,8706000000000000.0
Acquired Intangibles ($mm),1906000000000000.0,1729000000000000.0,2249000000000000.0,2014000000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Lease Liabilities ($mm),,,,,,,,,,,,,,,,,,,,,2095000000000000.0,2040000000000000.0,2065000000000000.0,2083000000000000.0,903000000000000.0,867000000000000.0,878000000000000.0,2222000000000000.0,911000000000000.0,820000000000000.0,836000000000000.0,2155000000000000.0,903000000000000.0,885000000000000.0,829000000000000.0,2080000000000000.0,815000000000000.0,771000000000000.0,749000000000000.0,2017000000000000.0,781000000000000.0,766000000000000.0,764000000000000.0,2031000000000000.0
Share Buybacks ($mm),1571000000000000.0,600000000000000.0,400000000000000.0,301000000000000.0,797000000000000.0,300000000000000.0,100000000000000.0,2000000000000.0,386000000000000.0,200000000000000.0,300000000000000.0,501000000000000.0,462000000000000.0,800000000000000.0,700000000000000.0,598000000000000.0,720000000000000.0,700000000000000.0,500000000000000.0,461000000000000.0,691000000000000.0,100000000000000.0,1000000000000000.0,1340000000000000.0,1378000000000000.0,1600000000000000.0,1500000000000000.0,1754000000000000.0,1508000000000000.0,1000000000000000.0,1000000000000000.0,750000000000000.0,100000000000000.0,0.0,,0.0,500000000000000.0,100000000000000.0,600000000000000.0,900000000000000.0,100000000000000.0,100000000000000.0,200000000000000.0,500000000000000.0
Headcount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Expenditures ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Cap ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
