Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),1.959e+16,2.0813e+16,1.928e+16,2.2059e+16,1.8684e+16,2.0238e+16,1.9226e+16,2.177e+16,1.8155e+16,1.9289e+16,1.9153e+16,2.2542e+16,1.9072e+16,2.0003e+16,1.8756e+16,2.1761e+16,1.8182e+16,1.9161e+16,1.8028e+16,2344000000000000.0,1.7571e+16,1.8123e+16,1.756e+16,1926000000000000.0,1.773e+16,1.8745e+16,1.7618e+16,1.6694e+16,1.4197e+16,1.5535e+16,1.4107e+16,1.669e+16,1.4252e+16,1.5475e+16,1.4752e+16,1.7381e+16,1.4462e+16,1.577e+16,1.4968e+16,1.7554e+16,1.4541e+16,1.6977e+16,1.6331e+16,
Operating Income ($mm),3001000000000000.0,4224000000000000.0,3621000000000000.0,5099000000000000.0,1034000000000000.0,3049000000000000.0,3263000000000000.0,4985000000000000.0,1424000000000000.0,2443000000000000.0,3065000000000000.0,4469000000000000.0,1136000000000000.0,2776000000000000.0,2996000000000000.0,4434000000000000.0,1883000000000000.0,2768000000000000.0,1522000000000000.0,1033000000000000.0,-49000000000000.0,1571000000000000.0,1827000000000000.0,-776000000000000.0,905000000000000.0,1552000000000000.0,1319000000000000.0,2869000000000000.0,623000000000000.0,1722000000000000.0,-4501000000000000.0,3312000000000000.0,1058000000000000.0,2000000000000000.0,1873000000000000.0,3759000000000000.0,1074000000000000.0,2219000000000000.0,-802000000000000.0,3306000000000000.0,1158000000000000.0,2597000000000000.0,2430000000000000.0,
Effective Tax Rate,,,,,-1.0,0.8,,0.0,-0.2,0.0,0.1,0.5,-0.5,0.1,0.1,0.2,0.2,,,,,,,,-0.7,0.1,,,-0.1,0.1,,,0.1,0.2,0.1,-0.0,-0.5,0.2,,,,,,
Stock-Based Compensation ($mm),127000000000000.0,130000000000000.0,,99000000000000.0,133000000000000.0,128000000000000.0,,141000000000000.0,129000000000000.0,136000000000000.0,,146000000000000.0,116000000000000.0,126000000000000.0,,139000000000000.0,113000000000000.0,135000000000000.0,,211000000000000.0,189000000000000.0,247000000000000.0,,279000000000000.0,213000000000000.0,244000000000000.0,,263000000000000.0,234000000000000.0,254000000000000.0,,248000000000000.0,268000000000000.0,288000000000000.0,,290000000000000.0,320000000000000.0,316000000000000.0,,345000000000000.0,401000000000000.0,441000000000000.0,,
Restructuring Charges ($mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036000000000000.0,0,0,0,0,0,0.0,0.0,0.0,259000000000000.0,117000000000000.0,34000000000000.0,25000000000000.0,374000000000000.0,18000000000000.0,306000000000000.0,-6000000000000.0,316000000000000.0,17000000000000.0,40000000000000.0,0
Total Debt ($mm),4072000000000000.0,4626000000000000.0,6886000000000000.0,5871000000000000.0,5000000000000000.0,4586000000000000.0,6561000000000000.0,6239000000000000.0,8055000000000000.0,7834000000000000.0,3892000000000000.0,5214000000000000.0,3758000000000000.0,5447000000000000.0,6773000000000000.0,5.5858e+16,7106000000000000.0,2.8995e+16,1.6665e+16,6.3203e+16,6.6846e+16,6.4853e+16,6.5439e+16,6.1333e+16,5.6404e+16,5.5177e+16,5.5401e+16,5.1704e+16,5.4235e+16,5.0309e+16,5.0879e+16,5.0949e+16,5.8713e+16,5.7476e+16,5.5242e+16,5.6547e+16,5.9504e+16,5.6531e+16,5.6579e+16,5.4973e+16,6.3284e+16,6.4164e+16,6.3116e+16,
Total Shareholders' Equity ($mm),1.2141e+16,1.3684e+16,1.3294e+16,1.4262e+16,1.4925e+16,1.5733e+16,1.701e+16,1.8246e+16,1.8327e+16,1.8419e+16,1.9627e+16,1.7594e+16,1.8166e+16,1.852e+16,1.9784e+16,1.6796e+16,1.6481e+16,1.7645e+16,1.7956e+16,2.0841e+16,1.9999e+16,2.0551e+16,2.1208e+16,2.0597e+16,2.1389e+16,2.1942e+16,2.2228e+16,1.8901e+16,1.905e+16,1.9409e+16,2.0076e+16,2.1944e+16,2.1604e+16,2.2201e+16,2.3081e+16,2.2533e+16,2.3261e+16,2.4026e+16,2.4448e+16,2.7307e+16,2.688e+16,2.7509e+16,2.7905e+16,
Cash & Equivalents ($mm),8796000000000000.0,8393000000000000.0,9480000000000000.0,7686000000000000.0,1.4354e+16,1.0017e+16,9039000000000000.0,7826000000000000.0,1.0096e+16,1.1696e+16,1.0915e+16,1.1972e+16,1.1949e+16,1.0741e+16,1.1563e+16,1.1379e+16,1.7134e+16,4.5399e+16,1.0087e+16,8172000000000000.0,1.1218e+16,1.2041e+16,1.4393e+16,1.3188e+16,1.0531e+16,7350000000000000.0,7455000000000000.0,6650000000000000.0,9934000000000000.0,7034000000000000.0,7816000000000000.0,7886000000000000.0,9337000000000000.0,9394000000000000.0,7257000000000000.0,1.3068e+16,1.4603e+16,1.221e+16,1.3197e+16,1.3947e+16,1.1035e+16,1.1943e+16,1.1569e+16,
Goodwill ($mm),2.9871e+16,3.0535e+16,3.0275e+16,3.2021e+16,3.4322e+16,3.6422e+16,3.6401e+16,3.6199e+16,3.6307e+16,3.6517e+16,3.6782e+16,3.6788e+16,3.6732e+16,3.6482e+16,3.6526e+16,3.6265e+16,3.6281e+16,3.5284e+16,5.7951e+16,5.2471e+16,5.7517e+16,5.7833e+16,5.8355e+16,5.3765e+16,5.9984e+16,6.1645e+16,6.1378e+16,5.5643e+16,5.6106e+16,5.5039e+16,5.4218e+16,5.5949e+16,5.6193e+16,5.6385e+16,5.9596e+16,6.0178e+16,5.9534e+16,5.9416e+16,6.1092e+16,6.0706e+16,6.6065e+16,6.7506e+16,6.7396e+16,
Acquired Intangibles ($mm),2991000000000000.0,2938000000000000.0,2775000000000000.0,3487000000000000.0,4373000000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
