Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,,,,1.7766e+16,1.8839e+16,1.965e+16,,2.0009e+16,2.083e+16,2.0394e+16,2.0021e+16,2.0562e+16,2.0729e+16,2.0747e+16,2.0691e+16,1.8336e+16,2.1082e+16,,,2.2321e+16,2.3312e+16,2.3338e+16,,2.3426e+16,2.402e+16,2.3791e+16,1.9939e+16,2.4746e+16,2.553e+16,2.1351e+16,2.1383e+16,2.2447e+16,2.2471e+16,2.252e+16,2.1893e+16,2.3743e+16,2.3993e+16,2.4564e+16
Operating Income ($mm),5827000000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,0.2,-0.0,,,,0.2,,0.0,,0.2,,0.7,,0.2,,-0.0,0.2,0.0,,-0.0,0.1,-0.0,,,,0.2,,0.0,,0.1,,-0.1,,0.9,,0.0,0.1,0.0,,-0.0,0.2,-0.0,,-0.0
Stock-Based Compensation ($mm),204000000000000.0,270000000000000.0,,,,205000000000000.0,,170000000000000.0,,229000000000000.0,,204000000000000.0,,268000000000000.0,,156000000000000.0,258000000000000.0,314000000000000.0,,160000000000000.0,263000000000000.0,326000000000000.0,,,,307000000000000.0,,85000000000000.0,,278000000000000.0,,210000000000000.0,,306000000000000.0,,178000000000000.0,302000000000000.0,341000000000000.0,,238000000000000.0,288000000000000.0,410000000000000.0,,309000000000000.0
Restructuring Charges ($mm),0.0,0.0,0.0,0,0,120000000000000.0,114000000000000.0,62000000000000.0,0,85000000000000.0,11000000000000.0,69000000000000.0,0,42000000000000.0,57000000000000.0,227000000000000.0,36000000000000.0,57000000000000.0,69000000000000.0,251000000000000.0,58000000000000.0,61000000000000.0,68000000000000.0,0,0,53000000000000.0,56000000000000.0,60000000000000.0,0,70000000000000.0,85000000000000.0,82000000000000.0,0,130000000000000.0,145000000000000.0,158000000000000.0,164000000000000.0,-13000000000000.0,41000000000000.0,42000000000000.0,17000000000000.0,64000000000000.0,63000000000000.0,84000000000000.0
Total Debt ($mm),4045000000000000.0,5222000000000000.0,5677000000000000.0,,7004000000000000.0,3116000000000000.0,1708000000000000.0,3443000000000000.0,6384000000000000.0,5355000000000000.0,7209000000000000.0,9991000000000000.0,,2696000000000000.0,2678000000000000.0,5396000000000000.0,1708000000000000.0,1719000000000000.0,2299000000000000.0,1202000000000000.0,2190000000000000.0,5332000000000000.0,5078000000000000.0,,3.8864e+16,3350000000000000.0,3173000000000000.0,3798000000000000.0,3.8013e+16,4297000000000000.0,4305000000000000.0,4424000000000000.0,4.2744e+16,1.7979e+16,1.1701e+16,3.2689e+16,8550000000000000.0,1.3455e+16,4462000000000000.0,4.0132e+16,1.3897e+16,1.1526e+16,6387000000000000.0,5.1933e+16
Total Shareholders' Equity ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6804e+16,,7.5149e+16,7.1228e+16,7.002e+16,7.1538e+16,7.0158e+16,7.149e+16,7.8109e+16,7.8473e+16,7.9277e+16,
Cash & Equivalents ($mm),1.1988e+16,1.0639e+16,1.3639e+16,,1.3732e+16,1.3861e+16,1.864e+16,1.8205e+16,1.8972e+16,2.0909e+16,1.2598e+16,1.5721e+16,,1.4639e+16,1.7569e+16,1.8107e+16,1.4734e+16,1.4376e+16,1.6249e+16,1.7305e+16,1.553e+16,1.1174e+16,1.8965e+16,,1.3985e+16,1.2671e+16,1.4332e+16,1.7604e+16,1.4487e+16,1.0463e+16,1.0983e+16,1.1355e+16,1.2889e+16,1.917e+16,2.1183e+16,1.9728e+16,2.5473e+16,2.4878e+16,1.998e+16,2.4105e+16,3.8474e+16,1.8577e+16,1.8231e+16,1.9709e+16
Goodwill ($mm),2.1345e+16,2.1493e+16,2.1279e+16,,2.1629e+16,2.1848e+16,2.2104e+16,2.3171e+16,2.2805e+16,2.4844e+16,3.1234e+16,3.1308e+16,,3.1149e+16,3.0346e+16,3.0453e+16,3.145e+16,3.3661e+16,3.3291e+16,3.3639e+16,3.3471e+16,3.389e+16,3.4307e+16,,3.6393e+16,3.5688e+16,3.5819e+16,3.5569e+16,2.5436e+16,3.4935e+16,3.4166e+16,3.3383e+16,3.6047e+16,4.5575e+16,4.544e+16,3.6124e+16,3.6616e+16,4.425e+16,4.4799e+16,4.42e+16,4.4468e+16,4.8117e+16,4.8048e+16,4.8772e+16
Acquired Intangibles ($mm),2.7025e+16,2.7017e+16,2.5988e+16,,2.5764e+16,2.584e+16,2.5694e+16,2.7642e+16,2.6876e+16,2.9466e+16,5.4942e+16,5.4569e+16,,5.2365e+16,5.0056e+16,4.7611e+16,4.6898e+16,4.9332e+16,4.7846e+16,4.7643e+16,4.7338e+16,4.7413e+16,4.7006e+16,,5.3402e+16,5.111e+16,5.0244e+16,4.7776e+16,4.6392e+16,4.442e+16,4.2408e+16,4.0336e+16,3.8489e+16,4.7448e+16,4.6246e+16,3.5021e+16,3.4286e+16,3.9725e+16,3.949e+16,3.7618e+16,3.6755e+16,4.9835e+16,4.8737e+16,5.0403e+16
