Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income ($mm),8224000000000000.0,8377000000000000.0,6730000000000000.0,7371000000000000.0,7578000000000000.0,9340000000000000.0,8939000000000000.0,8679000000000000.0,8341000000000000.0,9749000000000000.0,9556000000000000.0,8254000000000000.0,1.0662e+16,1.0572e+16,1.0689e+16,8841000000000000.0,1.1233e+16,1.1342e+16,1.1405e+16,1.0886e+16,3116000000000000.0,5565000000000000.0,1.1661e+16,1.5176e+16,1.7697e+16,1.5097e+16,1.4111e+16,1.2657e+16,1.0063e+16,1.0865e+16,1.2001e+16,1.3237e+16,1.5967e+16,1.7586e+16,1.6733e+16,1.1326e+16,1.7293e+16,2.3435e+16,1.6978e+16,1.7375e+16,1.8408e+16,1.8284e+16,1.8743e+16,1.716e+16
Effective Tax Rate,0.3,0.2,0.0,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Stock-Based Compensation ($mm),565000000000000.0,510000000000000.0,464000000000000.0,448000000000000.0,519000000000000.0,554000000000000.0,487000000000000.0,380000000000000.0,601000000000000.0,525000000000000.0,491000000000000.0,453000000000000.0,706000000000000.0,580000000000000.0,522000000000000.0,514000000000000.0,653000000000000.0,570000000000000.0,559000000000000.0,474000000000000.0,644000000000000.0,802000000000000.0,521000000000000.0,484000000000000.0,904000000000000.0,743000000000000.0,618000000000000.0,664000000000000.0,806000000000000.0,819000000000000.0,684000000000000.0,485000000000000.0,870000000000000.0,834000000000000.0,782000000000000.0,631000000000000.0,938000000000000.0,944000000000000.0,849000000000000.0,773000000000000.0,1053000000000000.0,959000000000000.0,910000000000000.0,692000000000000.0
Restructuring Charges ($mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Debt ($mm),5.5655e+16,4.2238e+16,1.9656e+16,1.5562e+16,1.749e+16,1.7279e+16,1.2258e+16,4.6181e+16,1.4908e+16,2.2207e+16,2.4248e+16,5.1802e+16,6.2667e+16,6.3918e+16,6.4635e+16,6.9276e+16,7.1305e+16,5.989e+16,4.8893e+16,4.092e+16,5.1909e+16,4.8014e+16,4.1992e+16,4.5208e+16,5.4978e+16,5.1938e+16,5.0393e+16,5.3594e+16,5.7586e+16,5.8422e+16,4.7866e+16,4.4027e+16,4.2241e+16,4.1022e+16,4.547e+16,4.4712e+16,4.6268e+16,4.7308e+16,5.0638e+16,5.2893e+16,6.498e+16,6.5293e+16,6.9355e+16,6.4776e+16
Total Shareholders' Equity ($mm),2.35864e+17,2.41205e+17,2.45728e+17,2.47573e+17,2.50157e+17,2.52423e+17,2.54331e+17,2.5419e+17,2.55863e+17,2.58483e+17,2.58382e+17,2.55693e+17,2.56201e+17,2.57458e+17,2.58956e+17,2.56515e+17,2.59837e+17,2.63215e+17,2.64348e+17,2.6133e+17,2.61262e+17,2.64466e+17,2.71113e+17,2.79354e+17,2.80714e+17,2.86386e+17,2.90041e+17,2.94127e+17,2.85899e+17,2.86143e+17,2.88018e+17,2.92332e+17,3.03082e+17,3.12516e+17,3.17371e+17,3.27878e+17,3.36637e+17,3.40552e+17,3.45836e+17,3.44758e+17,3.5142e+17,3.56924e+17,3.60212e+17,3.62438e+17
Cash & Equivalents ($mm),,,,3.61683e+17,,,,3.91154e+17,4.61886e+17,4.50526e+17,4.59156e+17,4.31304e+17,4.14812e+17,4.0518e+17,4.19097e+17,2.78793e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill ($mm),4.7453e+16,4.7476e+16,4.7405e+16,4.7325e+16,4.731e+16,4.7303e+16,4.7302e+16,4.7288e+16,4.7292e+16,4.73e+16,4.7309e+16,4.7507e+16,4.7499e+16,4.7488e+16,4.7483e+16,4.7471e+16,4.7474e+16,4.7477e+16,4.7818e+16,4.7823e+16,4.78e+16,4.7811e+16,4.7819e+16,4.9248e+16,4.9243e+16,4.9256e+16,5.0313e+16,5.0315e+16,5.0298e+16,5.0697e+16,5.1461e+16,5.1662e+16,5.2144e+16,5.238e+16,5.2492e+16,5.2634e+16,5.2636e+16,5.262e+16,5.2711e+16,5.2565e+16,5.2621e+16,5.2747e+16,5.2717e+16,5.2731e+16
Acquired Intangibles ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707000000000000.0,,,,2000000000000000.0,1900000000000000.0,1900000000000000.0,1800000000000000.0,1700000000000000.0,1600000000000000.0,1500000000000000.0,1400000000000000.0,1300000000000000.0
