Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,,,8032000000000000.0,9321000000000000.0,1.0328e+16,1.2972e+16,1.1966e+16,1.3231e+16,1.3727e+16,1.6914e+16,1.5077e+16,1.6886e+16,1.7652e+16,2.1082e+16,1.7737e+16,1.8687e+16,2.147e+16,2.8072e+16,2.6171e+16,2.9077e+16,2.901e+16,3.3671e+16,2.7908e+16,2.8822e+16,2.7714e+16,3.2165e+16,2.8645e+16,3.1999e+16,3.4146e+16,4.0111e+16,3.6455e+16,3.9071e+16,4.0589e+16,4.8385e+16,4.2314e+16,4.7516e+16,5.1242e+16,5.9893e+16
Operating Income ($mm),933000000000000.0,1273000000000000.0,1459000000000000.0,2560000000000000.0,2009000000000000.0,2746000000000000.0,3122000000000000.0,4567000000000000.0,3327000000000000.0,4401000000000000.0,5122000000000000.0,7352000000000000.0,5449000000000000.0,5863000000000000.0,5781000000000000.0,7820000000000000.0,3317000000000000.0,4626000000000000.0,7185000000000000.0,8858000000000000.0,5893000000000000.0,5963000000000000.0,8040000000000000.0,1.2775e+16,1.1378e+16,1.2367e+16,1.0423e+16,1.2585e+16,8524000000000000.0,8358000000000000.0,5664000000000000.0,6399000000000000.0,7227000000000000.0,9392000000000000.0,1.3748e+16,1.6384e+16,1.3818e+16,1.4847e+16,1.735e+16,2.3364e+16,1.7555e+16,2.0441e+16,2.0535e+16,2.4745e+16
Effective Tax Rate,0.5,0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.3,0.5,0.2,0.2,0.2,0.2,0.0,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,,0.1
Stock-Based Compensation ($mm),694000000000000.0,763000000000000.0,,746000000000000.0,747000000000000.0,816000000000000.0,,831000000000000.0,867000000000000.0,1032000000000000.0,,814000000000000.0,955000000000000.0,1186000000000000.0,,972000000000000.0,1010000000000000.0,1303000000000000.0,,1274000000000000.0,1335000000000000.0,1695000000000000.0,,1784000000000000.0,1830000000000000.0,2549000000000000.0,,2407000000000000.0,2498000000000000.0,3352000000000000.0,,3008000000000000.0,3051000000000000.0,4060000000000000.0,,3424000000000000.0,3562000000000000.0,4616000000000000.0,,4262000000000000.0,4147000000000000.0,4834000000000000.0,,5890000000000000.0
Restructuring Charges ($mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Debt ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9923000000000000.0,9925000000000000.0,1.8382e+16,1.8383e+16,1.8385e+16,,,2.8823e+16,2.8826e+16,,,,5.8744e+16
Total Shareholders' Equity ($mm),3.7501e+16,3.9452e+16,4.142e+16,4.4218e+16,4.715e+16,5.0383e+16,5.4115e+16,5.9194e+16,6.2188e+16,6.6481e+16,7.1208e+16,7.4347e+16,7.762e+16,7.9382e+16,8.0342e+16,8.4127e+16,8.6516e+16,8.8762e+16,9.3999e+16,1.01054e+17,1.05304e+17,1.10447e+17,1.17731e+17,1.2829e+17,1.33657e+17,1.38227e+17,1.3336e+17,1.24879e+17,1.23228e+17,1.25767e+17,1.24094e+17,1.25713e+17,1.24795e+17,1.34033e+17,1.42873e+17,1.53168e+17,1.49529e+17,1.56763e+17,1.64529e+17,1.82637e+17,1.85029e+17,1.9507e+17,1.94066e+17,2.17243e+17
Cash & Equivalents ($mm),3419000000000000.0,5123000000000000.0,4308000000000000.0,4907000000000000.0,6456000000000000.0,5108000000000000.0,6038000000000000.0,8903000000000000.0,7104000000000000.0,6252000000000000.0,7201000000000000.0,8079000000000000.0,1.2082e+16,1.1552e+16,9637000000000000.0,1.0019e+16,1.1076e+16,1.3877e+16,1.5979e+16,1.9079e+16,2.3618e+16,2.1045e+16,1.1617e+16,1.7576e+16,1.9513e+16,1.6186e+16,1.4496e+16,1.6601e+16,1.4886e+16,1.2681e+16,1.4308e+16,1.4681e+16,1.1551e+16,2.8785e+16,3.689e+16,4.1862e+16,3.2307e+16,3.2045e+16,4.3852e+16,4.3889e+16,2.875e+16,1.2005e+16,1.0187e+16,3.5873e+16
Goodwill ($mm),1.8005e+16,1.8025e+16,1.8024e+16,1.8026e+16,1.8029e+16,1.8043e+16,1.8085e+16,1.8122e+16,1.8126e+16,1.8129e+16,1.8213e+16,1.8221e+16,1.8268e+16,1.8263e+16,1.8304e+16,1.8301e+16,1.8333e+16,1.8334e+16,1.8338e+16,1.8715e+16,1.8811e+16,1.9029e+16,1.9031e+16,1.905e+16,1.9056e+16,1.9219e+16,1.9065e+16,1.9197e+16,1.9923e+16,2.0229e+16,2.0268e+16,2.0306e+16,2.0649e+16,2.0659e+16,2.0668e+16,2.0654e+16,2.0654e+16,2.0654e+16,2.0654e+16,2.0654e+16,2.0654e+16,2.0654e+16,2.1158e+16,2.4534e+16
Acquired Intangibles ($mm),3774000000000000.0,3605000000000000.0,3437000000000000.0,3246000000000000.0,3067000000000000.0,2879000000000000.0,2702000000000000.0,2535000000000000.0,2360000000000000.0,2186000000000000.0,2050000000000000.0,1884000000000000.0,1735000000000000.0,1573000000000000.0,1451000000000000.0,1294000000000000.0,1150000000000000.0,994000000000000.0,853000000000000.0,894000000000000.0,838000000000000.0,859000000000000.0,744000000000000.0,623000000000000.0,505000000000000.0,514000000000000.0,365000000000000.0,634000000000000.0,910000000000000.0,965000000000000.0,875000000000000.0,897000000000000.0,949000000000000.0,856000000000000.0,813000000000000.0,788000000000000.0,829000000000000.0,984000000000000.0,973000000000000.0,915000000000000.0,,,3179000000000000.0,3692000000000000.0
