Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,2.1928e+16,2.5826e+16,2.3212e+16,2.5605e+16,2.4538e+16,2.8918e+16,2.6819e+16,3.0085e+16,2.9084e+16,3.2471e+16,3.0571e+16,3.3717e+16,3.3055e+16,3.6906e+16,3.5021e+16,3.8033e+16,3.7154e+16,4.3076e+16,4.1706e+16,,4.5317e+16,5.1728e+16,4.936e+16,,5.0122e+16,5.2747e+16,5.2857e+16,,5.6517e+16,6.202e+16,6.1858e+16,,6.5585e+16,6.9632e+16,7.0066e+16,,7.7673e+16,8.1273e+16
Operating Income ($mm),6594000000000000.0,-2053000000000000.0,5793000000000000.0,6026000000000000.0,5283000000000000.0,3080000000000000.0,6715000000000000.0,6177000000000000.0,5594000000000000.0,5330000000000000.0,7708000000000000.0,8679000000000000.0,8292000000000000.0,1.0379e+16,9955000000000000.0,1.0258e+16,1.0341e+16,1.2405e+16,1.2686e+16,1.3891e+16,1.2975e+16,1.3407e+16,1.5876e+16,1.7897e+16,1.7048e+16,,2.0238e+16,2.2247e+16,2.0364e+16,,2.1518e+16,2.0399e+16,2.2352e+16,,2.6895e+16,2.7032e+16,2.7581e+16,,3.0552e+16,3.1653e+16,3.2e+16,,3.7961e+16,3.8275e+16
Effective Tax Rate,0.2,,0.2,0.1,0.2,,0.1,0.2,0.2,,0.2,1.7,0.1,,0.1,0.2,0.2,,0.2,0.2,0.2,,0.1,0.2,0.1,,0,0.2,0.2,,0.2,0.2,0.2,,0.2,0.2,0.2,,0.2,0.2,0.2,,0.2,0.2
Stock-Based Compensation ($mm),,,,,,,703000000000000.0,767000000000000.0,883000000000000.0,,973000000000000.0,986000000000000.0,969000000000000.0,,1107000000000000.0,1183000000000000.0,1172000000000000.0,,1262000000000000.0,1340000000000000.0,1338000000000000.0,,1456000000000000.0,1566000000000000.0,1525000000000000.0,,1702000000000000.0,1897000000000000.0,1906000000000000.0,,2192000000000000.0,2538000000000000.0,2465000000000000.0,,2507000000000000.0,2828000000000000.0,2703000000000000.0,,2832000000000000.0,3089000000000000.0,2980000000000000.0,,2983000000000000.0,3219000000000000.0
Restructuring Charges ($mm),98000000000000.0,0,0.0,800000000000000.0,0,0,0.0,501000000000000.0,0,0,0.0,306000000000000.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Debt ($mm),3.6024e+16,4.2784e+16,4.9348e+16,4.815e+16,5.1898e+16,6.6404e+16,8.9236e+16,1.10664e+17,9.1786e+16,9.6321e+16,9.472e+16,1.05212e+17,8.0808e+16,8.0198e+16,8.2697e+16,7.6716e+16,7.9615e+16,7.7694e+16,7.2512e+16,7.5855e+16,7.0358e+16,6.7076e+16,7.0049e+16,6.591e+16,6.6109e+16,6.6218e+16,5.6537e+16,5.8256e+16,5.1675e+16,5.253e+16,5.187e+16,5.2113e+16,5.4455e+16,5.2484e+16,7.525e+16,7.6469e+16,6.7691e+16,5.3879e+16,4.7366e+16,5.0218e+16,4.588e+16,4.615e+16,5.104e+16,4.5099e+16
Total Shareholders' Equity ($mm),9.0132e+16,8.0083e+16,7.7445e+16,7.678e+16,7.4806e+16,8.309e+16,8.2462e+16,8.1829e+16,8.3491e+16,8.7711e+16,8.9647e+16,7.836e+16,7.9239e+16,8.2718e+16,8.5967e+16,9.2128e+16,9.4864e+16,1.0233e+17,1.06061e+17,1.10109e+17,1.14501e+17,1.18304e+17,1.23392e+17,1.30236e+17,1.34505e+17,1.41988e+17,1.51978e+17,1.6001e+17,1.62924e+17,1.66542e+17,1.73566e+17,1.83136e+17,1.94683e+17,2.06223e+17,2.20714e+17,2.38268e+17,2.53152e+17,2.68477e+17,2.87723e+17,3.02695e+17,3.21891e+17,3.43479e+17,3.63076e+17,3.90875e+17
Cash & Equivalents ($mm),7414000000000000.0,5595000000000000.0,5431000000000000.0,7185000000000000.0,7170000000000000.0,6510000000000000.0,1.3928e+16,8468000000000000.0,6713000000000000.0,7663000000000000.0,6884000000000000.0,1.2859e+16,9221000000000000.0,1.1946e+16,1.5137e+16,6638000000000000.0,1.1212e+16,1.1356e+16,1.3117e+16,8864000000000000.0,1.171e+16,1.3576e+16,1.7205e+16,1.4432e+16,1.3702e+16,1.4224e+16,1.9165e+16,2.0604e+16,1.2498e+16,1.3931e+16,2.2884e+16,1.5646e+16,2.6562e+16,3.4704e+16,8.0452e+16,1.7305e+16,1.9634e+16,1.8315e+16,2.084e+16,1.7482e+16,2.8828e+16,3.0242e+16,2.8849e+16,2.4296e+16
Goodwill ($mm),2.1728e+16,1.6939e+16,1.7142e+16,1.7436e+16,1.7948e+16,1.7872e+16,1.7907e+16,3.4524e+16,3.4668e+16,3.5122e+16,3.5389e+16,3.5355e+16,3.5582e+16,3.5683e+16,3.5855e+16,4.1577e+16,4.1861e+16,4.2026e+16,4.2113e+16,4.2248e+16,4.2064e+16,4.3351e+16,4.389e+16,4.4219e+16,4.9698e+16,4.9711e+16,5.0455e+16,5.0921e+16,6.7371e+16,6.7524e+16,6.7459e+16,6.7905e+16,6.794e+16,6.7886e+16,6.779e+16,1.18931e+17,1.19163e+17,1.1922e+17,1.19374e+17,1.19191e+17,1.19329e+17,1.19509e+17,1.19497e+17,1.19622e+17
Acquired Intangibles ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Lease Liabilities ($mm),,,,,,0.0,,,,1.2167e+16,1.2788e+16,1.2623e+16,1.2884e+16,1.2535e+16,1.2676e+16,1.2787e+16,1.3405e+16,1.3891e+16,1.4869e+16,1.596e+16,1.6053e+16,1.6958e+16,1.725e+16,1.9616e+16,2.042e+16,2.122e+16,2.2149e+16,2.3674e+16,2.4873e+16,2.5206e+16,2.5544e+16,2.6283e+16,2.6951e+16,2.7865e+16,2.9512e+16,3.1097e+16,3.2351e+16,3.4574e+16,3.6731e+16,3.9116e+16,4.061e+16,4.0298e+16,4.0081e+16,4.021e+16
Share Buybacks ($mm),5131000000000000.0,,4757000000000000.0,3678000000000000.0,3857000000000000.0,,4362000000000000.0,3599000000000000.0,2062000000000000.0,,2570000000000000.0,2008000000000000.0,3781000000000000.0,,3744000000000000.0,6413000000000000.0,4753000000000000.0,,4912000000000000.0,5206000000000000.0,7059000000000000.0,,6743000000000000.0,6535000000000000.0,6930000000000000.0,,7684000000000000.0,7433000000000000.0,8822000000000000.0,,5573000000000000.0,5459000000000000.0,5509000000000000.0,,4831000000000000.0,4000000000000000.0,4213000000000000.0,,4107000000000000.0,4986000000000000.0,4781000000000000.0,,5650000000000000.0,7415000000000000.0
Headcount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Expenditures ($mm),1391000000000000.0,,1356000000000000.0,2024000000000000.0,2308000000000000.0,,2163000000000000.0,1988000000000000.0,1695000000000000.0,,2132000000000000.0,2586000000000000.0,2934000000000000.0,,3602000000000000.0,3707000000000000.0,2565000000000000.0,,3385000000000000.0,3545000000000000.0,3767000000000000.0,,4907000000000000.0,4174000000000000.0,5089000000000000.0,,5810000000000000.0,5865000000000000.0,5340000000000000.0,,6283000000000000.0,6274000000000000.0,6607000000000000.0,,9917000000000000.0,9735000000000000.0,1.0952e+16,,1.4923e+16,1.5804e+16,1.6745e+16,,1.9394e+16,2.9876e+16
