Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,,,,1937000000000000.0,2230000000000000.0,2636000000000000.0,2911000000000000.0,3207000000000000.0,3123000000000000.0,3181000000000000.0,2205000000000000.0,2220000000000000.0,2579000000000000.0,3014000000000000.0,3105000000000000.0,,,,,,,,,,,,,,,,,,,,,,,
Operating Income ($mm),,176000000000000.0,76000000000000.0,245000000000000.0,,245000000000000.0,317000000000000.0,639000000000000.0,,554000000000000.0,688000000000000.0,895000000000000.0,,1295000000000000.0,1157000000000000.0,1058000000000000.0,,358000000000000.0,571000000000000.0,927000000000000.0,,976000000000000.0,651000000000000.0,1398000000000000.0,,1956000000000000.0,2444000000000000.0,2671000000000000.0,,1868000000000000.0,499000000000000.0,601000000000000.0,,2140000000000000.0,6800000000000000.0,1.0417e+16,,1.6909e+16,1.8642e+16,2.1869e+16,,2.1638e+16,2.844e+16,3.601e+16
Effective Tax Rate,,0.2,0.6,0.0,,-0.2,0.2,0.1,,0.1,0.1,0.1,,0.1,0.1,0.1,,-0.0,0.1,0.1,,0.1,-0.0,0.0,,0.1,0.0,0.1,,0.1,-0.4,-0.1,,0.1,0.1,0.1,,0.1,0.1,0.1,,0.1,0.2,0.2
Stock-Based Compensation ($mm),,45000000000000.0,47000000000000.0,51000000000000.0,,53000000000000.0,58000000000000.0,65000000000000.0,,76000000000000.0,81000000000000.0,107000000000000.0,,129000000000000.0,132000000000000.0,140000000000000.0,,178000000000000.0,224000000000000.0,223000000000000.0,,224000000000000.0,374000000000000.0,383000000000000.0,,429000000000000.0,465000000000000.0,559000000000000.0,,578000000000000.0,,33000000000000.0,,735000000000000.0,,154000000000000.0,,1011000000000000.0,,133000000000000.0,,1474000000000000.0,,-16000000000000.0
Restructuring Charges ($mm),0,0.0,89000000000000.0,8000000000000.0,0,1000000000000.0,2000000000000.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Debt ($mm),1384000000000000.0,1391000000000000.0,1399000000000000.0,1406000000000000.0,0.0,,,1982000000000000.0,1983000000000000.0,1984000000000000.0,1984000000000000.0,1985000000000000.0,1985000000000000.0,1986000000000000.0,1987000000000000.0,1987000000000000.0,1988000000000000.0,1988000000000000.0,1989000000000000.0,1990000000000000.0,1991000000000000.0,6959000000000000.0,6960000000000000.0,6961000000000000.0,7962000000000000.0,7962000000000000.0,1.2943e+16,1.0944e+16,1.0946e+16,1.0947e+16,1.2198e+16,1.2199e+16,1.2203e+16,1.2204e+16,1.0954e+16,1.0955e+16,1.0959e+16,1.096e+16,8461000000000000.0,8462000000000000.0,8463000000000000.0,8464000000000000.0,8466000000000000.0,9466000000000000.0
Total Shareholders' Equity ($mm),4418000000000000.0,4556000000000000.0,4185000000000000.0,4465000000000000.0,4469000000000000.0,4196000000000000.0,4480000000000000.0,5324000000000000.0,5762000000000000.0,6132000000000000.0,5973000000000000.0,6352000000000000.0,7471000000000000.0,7717000000000000.0,8795000000000000.0,9475000000000000.0,9342000000000000.0,9704000000000000.0,1.0336e+16,1.1214e+16,1.2204e+16,1.3099e+16,1.3914e+16,1.5334e+16,1.6893e+16,1.8774e+16,2.1147e+16,2.3798e+16,2.6612e+16,2.632e+16,2.3851e+16,2.1349e+16,2.2101e+16,2.452e+16,2.7501e+16,3.3265e+16,4.2978e+16,4.9142e+16,5.8157e+16,6.5899e+16,7.9327e+16,8.3843e+16,1.00131e+17,1.18897e+17
Cash & Equivalents ($mm),497000000000000.0,464000000000000.0,435000000000000.0,471000000000000.0,596000000000000.0,547000000000000.0,426000000000000.0,1940000000000000.0,1766000000000000.0,1989000000000000.0,1988000000000000.0,2802000000000000.0,4002000000000000.0,765000000000000.0,718000000000000.0,721000000000000.0,782000000000000.0,2772000000000000.0,7105000000000000.0,9765000000000000.0,1.0896e+16,1.5494e+16,3274000000000000.0,2251000000000000.0,847000000000000.0,978000000000000.0,5628000000000000.0,1288000000000000.0,1990000000000000.0,3887000000000000.0,3013000000000000.0,2800000000000000.0,3389000000000000.0,5079000000000000.0,5783000000000000.0,5519000000000000.0,7280000000000000.0,7587000000000000.0,8563000000000000.0,9107000000000000.0,8589000000000000.0,1.5234e+16,1.1639e+16,1.1486e+16
Goodwill ($mm),618000000000000.0,618000000000000.0,618000000000000.0,618000000000000.0,618000000000000.0,618000000000000.0,618000000000000.0,618000000000000.0,618000000000000.0,618000000000000.0,618000000000000.0,618000000000000.0,618000000000000.0,618000000000000.0,618000000000000.0,618000000000000.0,618000000000000.0,618000000000000.0,618000000000000.0,618000000000000.0,618000000000000.0,628000000000000.0,4193000000000000.0,4193000000000000.0,4193000000000000.0,4193000000000000.0,4193000000000000.0,4302000000000000.0,4349000000000000.0,4365000000000000.0,4372000000000000.0,4372000000000000.0,4372000000000000.0,4430000000000000.0,4430000000000000.0,4430000000000000.0,4430000000000000.0,4453000000000000.0,4622000000000000.0,4724000000000000.0,5188000000000000.0,5498000000000000.0,5755000000000000.0,6261000000000000.0
Acquired Intangibles ($mm),222000000000000.0,205000000000000.0,190000000000000.0,172000000000000.0,166000000000000.0,155000000000000.0,138000000000000.0,120000000000000.0,104000000000000.0,90000000000000.0,76000000000000.0,63000000000000.0,52000000000000.0,55000000000000.0,51000000000000.0,49000000000000.0,45000000000000.0,54000000000000.0,49000000000000.0,43000000000000.0,49000000000000.0,80000000000000.0,2854000000000000.0,2861000000000000.0,2737000000000000.0,2613000000000000.0,2478000000000000.0,2454000000000000.0,2339000000000000.0,2211000000000000.0,2036000000000000.0,1850000000000000.0,1676000000000000.0,1541000000000000.0,1395000000000000.0,1251000000000000.0,1112000000000000.0,986000000000000.0,952000000000000.0,838000000000000.0,807000000000000.0,769000000000000.0,755000000000000.0,936000000000000.0
