Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,,,2975000000000000.0,3136000000000000.0,3239000000000000.0,3744000000000000.0,3685000000000000.0,3857000000000000.0,3683000000000000.0,4226000000000000.0,4128000000000000.0,4305000000000000.0,4378000000000000.0,4961000000000000.0,4618000000000000.0,,,,,,,,,,,,,,,,,,,,,,,
Operating Income ($mm),322000000000000.0,398000000000000.0,330000000000000.0,411000000000000.0,407000000000000.0,371000000000000.0,348000000000000.0,460000000000000.0,431000000000000.0,430000000000000.0,423000000000000.0,843000000000000.0,534000000000000.0,572000000000000.0,490000000000000.0,598000000000000.0,518000000000000.0,705000000000000.0,697000000000000.0,799000000000000.0,398000000000000.0,951000000000000.0,977000000000000.0,963000000000000.0,1042000000000000.0,1127000000000000.0,1043000000000000.0,1050000000000000.0,711000000000000.0,764000000000000.0,1118000000000000.0,1244000000000000.0,999000000000000.0,1133000000000000.0,1168000000000000.0,1728000000000000.0,1168000000000000.0,1325000000000000.0,1391000000000000.0,1441000000000000.0,1530000000000000.0,1504000000000000.0,1520000000000000.0,1511000000000000.0
Effective Tax Rate,0.2,0.2,0.1,-0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.0,0.1,0.1,0.1,0.1,0.7,0.1,0.1,-0.0,-0.3,0.1,0.1,-0.0,0.2,8.0,0.2,-0.1,0.3,0.2,0.2,0.0,0.3,0.2,0.2,-0.0,0.2,0.2,0.2,-0.0
Stock-Based Compensation ($mm),79000000000000.0,83000000000000.0,,90000000000000.0,95000000000000.0,111000000000000.0,,125000000000000.0,145000000000000.0,176000000000000.0,,219000000000000.0,205000000000000.0,205000000000000.0,,230000000000000.0,247000000000000.0,223000000000000.0,,285000000000000.0,283000000000000.0,352000000000000.0,,377000000000000.0,368000000000000.0,390000000000000.0,,318000000000000.0,429000000000000.0,312000000000000.0,,294000000000000.0,345000000000000.0,363000000000000.0,,388000000000000.0,365000000000000.0,298000000000000.0,,283000000000000.0,249000000000000.0,286000000000000.0,,210000000000000.0
Restructuring Charges ($mm),48000000000000.0,1000000000000.0,0.0,-1000000000000.0,0.0,0.0,0.0,0.0,40000000000000.0,0.0,0.0,0,25000000000000.0,0.0,0,0.0,78000000000000.0,0,0,0,29000000000000.0,26000000000000.0,19000000000000.0,35000000000000.0,32000000000000.0,0.0,0.0,0.0,20000000000000.0,71000000000000.0,23000000000000.0,7000000000000.0,117000000000000.0,0.0,3000000000000.0,2000000000000.0,175000000000000.0,83000000000000.0,36000000000000.0,13000000000000.0,39000000000000.0,0,0,0
Total Debt ($mm),,,,,,,,,,,,,,,,0.0,,,4964000000000000.0,4965000000000000.0,7967000000000000.0,8934000000000000.0,8937000000000000.0,8939000000000000.0,8942000000000000.0,8945000000000000.0,7949000000000000.0,8049000000000000.0,8222000000000000.0,1.0198e+16,1.0241e+16,1.0417e+16,1.0481e+16,1.0549e+16,1.064e+16,9676000000000000.0,9683000000000000.0,9727000000000000.0,9976000000000000.0,9879000000000000.0,1.1417e+16,1.1296e+16,1.1276e+16,9987000000000000.0
Total Shareholders' Equity ($mm),,1.274e+16,1.3214e+16,1.3759e+16,1.3598e+16,1.3817e+16,1.4192e+16,1.4712e+16,1.4626e+16,1.4998e+16,1.5432e+16,1.5994e+16,1.4641e+16,1.5019e+16,1.5115e+16,1.5386e+16,1.5157e+16,1.6139e+16,1.6483e+16,1.6885e+16,1.5967e+16,1.764e+16,1.8483e+16,2.0019e+16,1.9441e+16,2.0905e+16,2.209e+16,2.1727e+16,2.0603e+16,1.9767e+16,2.0264e+16,2.0274e+16,1.9858e+16,1.9661e+16,1.974e+16,2.1051e+16,2.0702e+16,2.0622e+16,2.0174e+16,2.0417e+16,2.0254e+16,2.0201e+16,2.0198e+16,2.0256e+16
Cash & Equivalents ($mm),2365000000000000.0,2562000000000000.0,1880000000000000.0,1393000000000000.0,2583000000000000.0,2018000000000000.0,1369000000000000.0,1590000000000000.0,1240000000000000.0,1271000000000000.0,2330000000000000.0,2883000000000000.0,2879000000000000.0,2840000000000000.0,8147000000000000.0,7575000000000000.0,4515000000000000.0,4909000000000000.0,6877000000000000.0,7349000000000000.0,7854000000000000.0,6353000000000000.0,6112000000000000.0,4794000000000000.0,5717000000000000.0,5745000000000000.0,7782000000000000.0,5197000000000000.0,4861000000000000.0,4583000000000000.0,6659000000000000.0,7776000000000000.0,7101000000000000.0,5504000000000000.0,6816000000000000.0,9081000000000000.0,9693000000000000.0,7801000000000000.0,7372000000000000.0,6662000000000000.0,7449000000000000.0,6688000000000000.0,8995000000000000.0,8049000000000000.0
Goodwill ($mm),,3409000000000000.0,3415000000000000.0,4069000000000000.0,4071000000000000.0,4069000000000000.0,4068000000000000.0,4059000000000000.0,4060000000000000.0,4062000000000000.0,4326000000000000.0,4339000000000000.0,4338000000000000.0,4000000000000.0,6054000000000000.0,6284000000000000.0,6234000000000000.0,6236000000000000.0,6178000000000000.0,6212000000000000.0,9124000000000000.0,9118000000000000.0,9119000000000000.0,9135000000000000.0,9117000000000000.0,9564000000000000.0,9550000000000000.0,1.1454e+16,1.137e+16,1.1146e+16,1.1053e+16,1.1209e+16,1.1195e+16,1.1067e+16,1.0935e+16,1.1026e+16,1.0916e+16,1.0816e+16,1.0996e+16,1.0837e+16,1.091e+16,1.0976e+16,1.0941e+16,1.0864e+16
Acquired Intangibles ($mm),,186000000000000.0,174000000000000.0,358000000000000.0,320000000000000.0,281000000000000.0,245000000000000.0,211000000000000.0,184000000000000.0,143000000000000.0,226000000000000.0,168000000000000.0,138000000000000.0,125000000000000.0,684000000000000.0,825000000000000.0,750000000000000.0,699000000000000.0,629000000000000.0,778000000000000.0,1369000000000000.0,1254000000000000.0,1146000000000000.0,1048000000000000.0,938000000000000.0,920000000000000.0,808000000000000.0,1332000000000000.0,1185000000000000.0,1001000000000000.0,855000000000000.0,788000000000000.0,730000000000000.0,640000000000000.0,564000000000000.0,537000000000000.0,465000000000000.0,403000000000000.0,393000000000000.0,326000000000000.0,296000000000000.0,271000000000000.0,226000000000000.0,208000000000000.0
