Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),3.5756e+16,3.6263e+16,4.1489e+16,4.3599e+16,4.4527e+16,4.6485e+16,4.6293e+16,4.7535e+16,4.8723e+16,5.0053e+16,5.0322e+16,5.2061e+16,5.5188e+16,5.6086e+16,5.6556e+16,5.8417e+16,6.0308e+16,6.0595e+16,6.0351e+16,6.0901e+16,6.4421e+16,6.2138e+16,6.5115e+16,6.5467e+16,7.0196e+16,7.1321e+16,7.2337e+16,7.3743e+16,8.0149e+16,8.0332e+16,8.0894e+16,8.2787e+16,9.1931e+16,9.2903e+16,9.2361e+16,9.4427e+16,9.9796e+16,9.8855e+16,1.0082e+17,1.00807e+17,1.09575e+17,1.11616e+17,1.13161e+17,
Operating Income ($mm),2640000000000000.0,2895000000000000.0,3018000000000000.0,2468000000000000.0,2960000000000000.0,3203000000000000.0,3580000000000000.0,3187000000000000.0,3413000000000000.0,3731000000000000.0,4088000000000000.0,3977000000000000.0,4053000000000000.0,4204000000000000.0,4590000000000000.0,4497000000000000.0,4832000000000000.0,4744000000000000.0,5014000000000000.0,5095000000000000.0,4996000000000000.0,9241000000000000.0,4651000000000000.0,3517000000000000.0,6739000000000000.0,5978000000000000.0,5712000000000000.0,5541000000000000.0,6950000000000000.0,7132000000000000.0,7462000000000000.0,6891000000000000.0,8086000000000000.0,8057000000000000.0,8526000000000000.0,7689000000000000.0,7931000000000000.0,7875000000000000.0,8708000000000000.0,7773000000000000.0,9119000000000000.0,5150000000000000.0,4315000000000000.0,
Effective Tax Rate,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,0.2,0.2,0.1,0.2,0.1,0.2,
Stock-Based Compensation ($mm),125000000000000.0,86000000000000.0,95000000000000.0,100000000000000.0,157000000000000.0,105000000000000.0,,116000000000000.0,196000000000000.0,136000000000000.0,,141000000000000.0,208000000000000.0,150000000000000.0,,126000000000000.0,243000000000000.0,155000000000000.0,,172000000000000.0,231000000000000.0,157000000000000.0,,152000000000000.0,256000000000000.0,170000000000000.0,,209000000000000.0,299000000000000.0,205000000000000.0,,250000000000000.0,362000000000000.0,242000000000000.0,,208000000000000.0,372000000000000.0,222000000000000.0,,187000000000000.0,375000000000000.0,197000000000000.0,,
Restructuring Charges ($mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Debt ($mm),1.8374e+16,1.8071e+16,3.1782e+16,3.1965e+16,3.3722e+16,3.3198e+16,3.3224e+16,3.297e+16,3.3901e+16,2.6197e+16,2.4723e+16,3.1692e+16,2.8206e+16,3.2096e+16,3.2053e+16,3.6554e+16,3.4419e+16,3.4473e+16,3.8507e+16,4.0678e+16,3.5779e+16,3.9901e+16,3.9895e+16,4.3467e+16,3.742e+16,4.4348e+16,4.3345e+16,4.6003e+16,4.0796e+16,4.5799e+16,4.5438e+16,5.4513e+16,6.8857e+16,6.3668e+16,6.0679e+16,5.8263e+16,7.115e+16,6.3727e+16,7.4101e+16,7.2359e+16,7.1285e+16,7.3495e+16,7.2399e+16,
Total Shareholders' Equity ($mm),3.1878e+16,3.302e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Equivalents ($mm),8650000000000000.0,7887000000000000.0,7983000000000000.0,1.0923e+16,1.0596e+16,8217000000000000.0,1.2796e+16,1.043e+16,1.6142e+16,1.4582e+16,1.6269e+16,1.1981e+16,1.8243e+16,1.8368e+16,1.0263e+16,1.0866e+16,1.2407e+16,1.3745e+16,1.2363e+16,1.0985e+16,2.1569e+16,2.2327e+16,1.755e+16,1.6921e+16,1.9955e+16,1.9832e+16,2.1085e+16,2.1375e+16,2.5482e+16,2.4612e+16,3.8845e+16,2.3365e+16,4.1913e+16,4.1813e+16,3.8915e+16,2.5427e+16,2.8414e+16,2.6286e+16,3.24e+16,2.5312e+16,3.0717e+16,2.8596e+16,2.721e+16,
Goodwill ($mm),3.2782e+16,3.4154e+16,4.368e+16,4.4453e+16,4.6294e+16,4.6881e+16,4.7183e+16,4.7584e+16,5.2376e+16,5.2498e+16,5.3402e+16,5.4556e+16,5.685e+16,5.6271e+16,5.8703e+16,5.891e+16,5.9379e+16,6.2e+16,6.5205e+16,6.5659e+16,6.5302e+16,6.7872e+16,6.8088e+16,7.1337e+16,7.2162e+16,7.5827e+16,7.5435e+16,7.5795e+16,7.7548e+16,8.4159e+16,8.3904e+16,9.3352e+16,1.00406e+17,1.01669e+17,1.01703e+17,1.03732e+17,1.05664e+17,1.05436e+17,1.05978e+17,1.06734e+17,1.07566e+17,1.07677e+17,1.1034e+17,
Acquired Intangibles ($mm),3441000000000000.0,3316000000000000.0,8405000000000000.0,8391000000000000.0,8861000000000000.0,8878000000000000.0,8719000000000000.0,8541000000000000.0,8618000000000000.0,8338000000000000.0,8457000000000000.0,8489000000000000.0,9033000000000000.0,8680000000000000.0,9498000000000000.0,9325000000000000.0,9245000000000000.0,9999000000000000.0,1.0521e+16,1.0349e+16,1.0199e+16,1.0552e+16,1.0373e+16,1.0856e+16,1.0842e+16,1.0806e+16,1.0436e+16,1.0044e+16,9918000000000000.0,1.1285e+16,1.0785e+16,1.4401e+16,1.6165e+16,1.5643e+16,1.52e+16,1.5194e+16,1.5543e+16,1.4729e+16,2.3594e+16,2.3268e+16,2.2947e+16,2.251e+16,2.2785e+16,
