Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,,,1.551e+16,1.5927e+16,1.6173e+16,1.8975e+16,1.7113e+16,1.7456e+16,1.7444e+16,1.9848e+16,1.716e+16,1.8048e+16,1.8318e+16,2.0568e+16,1.8035e+16,2.0459e+16,2.1238e+16,2.4896e+16,2.2908e+16,2.3424e+16,2.3184e+16,2.7771e+16,2.4378e+16,2.4766e+16,2.4161e+16,2.7033e+16,2.2925e+16,2.2055e+16,2.1061e+16,2.4917e+16,2.1706e+16,2.1818e+16,2.2245e+16,2.5301e+16,2.1546e+16,2.1221e+16,2.1415e+16,2.4479e+16
Operating Income ($mm),1673000000000000.0,1960000000000000.0,1984000000000000.0,2051000000000000.0,1823000000000000.0,2038000000000000.0,2034000000000000.0,-428000000000000.0,1784000000000000.0,2216000000000000.0,2035000000000000.0,1494000000000000.0,1520000000000000.0,1773000000000000.0,1727000000000000.0,2004000000000000.0,1394000000000000.0,2143000000000000.0,2128000000000000.0,2133000000000000.0,1072000000000000.0,2212000000000000.0,2363000000000000.0,2037000000000000.0,2765000000000000.0,3258000000000000.0,2896000000000000.0,3891000000000000.0,3251000000000000.0,3535000000000000.0,3113000000000000.0,3195000000000000.0,2541000000000000.0,2780000000000000.0,1343000000000000.0,2477000000000000.0,1613000000000000.0,1944000000000000.0,1985000000000000.0,2926000000000000.0,1666000000000000.0,1822000000000000.0,1804000000000000.0,2575000000000000.0
Effective Tax Rate,0.4,0.3,0.3,-0.0,0.4,0.3,0.3,-0.0,0.3,0.3,0.3,-0.0,0.2,0.2,,,0.2,0.2,0.2,-0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.2,-0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.1,0.0,0.3,0.2,0.2,-0.0,0.2,0.2,0.2,0.0
Stock-Based Compensation ($mm),194000000000000.0,134000000000000.0,124000000000000.0,122000000000000.0,215000000000000.0,131000000000000.0,125000000.0,120000000000000.0,212000000000000.0,133000000000000.0,118000000000000.0,121000000000000.0,239000000000000.0,139000000000000.0,129000000000000.0,127000000000000.0,308000000000000.0,205000000000000.0,203000000000000.0,199000000000000.0,231000000000000.0,137000000000000.0,140000000000000.0,288000000000000.0,315000000000000.0,206000000000000.0,179000000000000.0,178000000000000.0,386000000000000.0,231000000000000.0,233000000000000.0,718000000000000.0,126000000000000.0,39000000000000.0,21000000000000.0,34000000000000.0,-27000000000000.0,30000000000000.0,-24000000000000.0,45000000000000.0,21000000000000.0,-5000000000000.0,25000000000000.0,32000000000000.0
Restructuring Charges ($mm),0,0,0,0,0,0,0,0,0,0,0,0,0,263000000000000.0,97000000000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Debt ($mm),1.6267e+16,1.6404e+16,1.9158e+16,1.7352e+16,1.9307e+16,1.7182e+16,1.9146e+16,1.9756e+16,2.1542e+16,2.1891e+16,2.3465e+16,2.83e+16,2.5775e+16,2.5302e+16,2.6501e+16,2.5541e+16,2.5955e+16,2.6331e+16,2.6062e+16,3.2078e+16,3.7411e+16,3.4446e+16,3.0482e+16,2.7292e+16,2.6235e+16,2.4653e+16,2.3374e+16,2.4046e+16,2.4022e+16,2.3155e+16,2.2931e+16,1.9662e+16,2.452e+16,2.2175e+16,1.8882e+16,1.8916e+16,1.8849e+16,2.0197e+16,2.0324e+16,1.9446e+16,1.9511e+16,2.382e+16,2.385e+16,2.3519e+16
Total Shareholders' Equity ($mm),1829000000000000.0,1950000000000000.0,1929000000000000.0,2470000000000000.0,2457000000000000.0,2626000000000000.0,2743000000000000.0,405000000000000.0,535000000000000.0,1244000000000000.0,1509000000000000.0,994000000000000.0,1344000000000000.0,2328000000000000.0,3098000000000000.0,3021000000000000.0,3467000000000000.0,4405000000000000.0,5558000000000000.0,3267000000000000.0,3299000000000000.0,4363000000000000.0,5592000000000000.0,657000000000000.0,7147000000000000.0,1.0805e+16,1.2041e+16,1.4253e+16,1.5416e+16,1.6289e+16,1.6968e+16,1.9786e+16,2.0038e+16,2.0019e+16,1.9168e+16,1.7306e+16,1.6909e+16,1.703e+16,1.6857e+16,1.6718e+16,1.566e+16,1.575e+16,1.5823e+16,1.6227e+16
Cash & Equivalents ($mm),4482000000000000.0,3430000000000000.0,3441000000000000.0,2730000000000000.0,3887000000000000.0,3059000000000000.0,3299000000000000.0,3476000000000000.0,2687000000000000.0,3544000000000000.0,3418000000000000.0,3320000000000000.0,3544000000000000.0,4214000000000000.0,4097000000000000.0,4225000000000000.0,4399000000000000.0,4072000000000000.0,4040000000000000.0,5238000000000000.0,8955000000000000.0,8813000000000000.0,8839000000000000.0,5910000000000000.0,7731000000000000.0,9608000000000000.0,1.0212e+16,1.0255e+16,1.2208e+16,1.1735e+16,1.1045e+16,5602000000000000.0,6190000000000000.0,4812000000000000.0,4311000000000000.0,3206000000000000.0,4281000000000000.0,6319000000000000.0,5855000000000000.0,6112000000000000.0,4802000000000000.0,6194000000000000.0,6764000000000000.0,5887000000000000.0
Goodwill ($mm),2140000000000000.0,2214000000000000.0,3442000000000000.0,3419000000000000.0,3440000000000000.0,3427000000000000.0,3436000000000000.0,3757000000000000.0,3777000000000000.0,3845000000000000.0,3838000000000000.0,3872000000000000.0,3893000000000000.0,3837000000000000.0,3825000000000000.0,3811000000000000.0,3813000000000000.0,3811000000000000.0,3783000000000000.0,3813000000000000.0,3776000000000000.0,3787000000000000.0,3816000000000000.0,3367000000000000.0,3346000000000000.0,3357000000000000.0,3332000000000000.0,3692000000000000.0,3668000000000000.0,3675000000000000.0,3624000000000000.0,4223000000000000.0,4249000000000000.0,4250000000000000.0,4097000000000000.0,4872000000000000.0,4846000000000000.0,4350000000000000.0,4300000000000000.0,4300000000000000.0,4691000000000000.0,4806000000000000.0,4800000000000000.0,5837000000000000.0
Acquired Intangibles ($mm),844000000000000.0,878000000000000.0,1523000000000000.0,1549000000000000.0,1569000000000000.0,1550000000000000.0,1537000000000000.0,1758000000000000.0,1780000000000000.0,1829000000000000.0,1897000000000000.0,1964000000000000.0,2025000000000000.0,2028000000000000.0,2070000000000000.0,2075000000000000.0,2093000000000000.0,2121000000000000.0,2131000000000000.0,2167000000000000.0,2176000000000000.0,2207000000000000.0,2289000000000000.0,2274000000000000.0,2268000000000000.0,2238000000000000.0,2224000000000000.0,2486000000000000.0,2465000000000000.0,2476000000000000.0,2439000000000000.0,2796000000000000.0,2811000000000000.0,2890000000000000.0,2892000000000000.0,3305000000000000.0,3308000000000000.0,3106000000000000.0,3108000000000000.0,3064000000000000.0,3301000000000000.0,3356000000000000.0,3455000000000000.0,4021000000000000.0
Operating Lease Liabilities ($mm),,,,,,,,,,,,,,,,0.0,4793000000000000.0,4539000000000000.0,4626000000000000.0,5320000000000000.0,5512000000000000.0,5460000000000000.0,5506000000000000.0,5640000000000000.0,5596000000000000.0,6632000000000000.0,6428000000000000.0,6646000000000000.0,6519000000000000.0,6486000000000000.0,6480000000000000.0,7097000000000000.0,7746000000000000.0,8033000000000000.0,7966000000000000.0,8221000000000000.0,8074000000000000.0,7805000000000000.0,7925000000000000.0,8003000000000000.0,7730000000000000.0,7614000000000000.0,8116000000000000.0,8163000000000000.0
