Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,,,,479861000000000.0,525320000000000.0,555389000000000.0,582480000000000.0,618643000000000.0,671720000000000.0,743189000000000.0,788628000000000.0,825055000000000.0,887752000000000.0,938100000000000.0,976299000000000.0,1018385000000000.0,1061967000000000.0,1105960000000000.0,1131684000000000.0,1175033000000000.0,1260361000000000.0,1327263000000000.0,,1434657000000000.0,1535798000000000.0,1599103000000000.0,,1684312000000000.0,1786766000000000.0,1865675000000000.0,,1990000000000000.0,2085000000000000.0,2160000000000000.0,,2240000000000000.0,2348000000000000.0,2432000000000000.0
Operating Income ($mm),-50384000000000.0,-53404000000000.0,-67640000000000.0,-70174000000000.0,-73441000000000.0,-73649000000000.0,-86897000000000.0,-109884000000000.0,-106235000000000.0,-60200000000000.0,-81629000000000.0,-80059000000000.0,-81335000000000.0,-71264000000000.0,-88982000000000.0,-182755000000000.0,-120283000000000.0,-123386000000000.0,-122497000000000.0,-110250000000000.0,-146097000000000.0,-144457000000000.0,-16754000000000.0,-14077000000000.0,-73311000000000.0,-38313000000000.0,-1120000000000.0,23945000000000.0,,-72843000000000.0,-34078000000000.0,-26321000000000.0,,-19800000000000.0,36257000000000.0,87855000000000.0,,64000000000000.0,111000000000000.0,165000000000000.0,,39000000000000.0,248000000000000.0,259000000000000.0
Effective Tax Rate,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.0,0.0,0.0,,0.1,0.0,,,,0.0,0.1,,0.1,0.2,0.1,,0.3,0.2,0.3
Stock-Based Compensation ($mm),,47274000000000.0,64764000000000.0,68659000000000.0,,78235000000000.0,88222000000000.0,100098000000000.0,,107788000000000.0,121523000000000.0,122479000000000.0,,132659000000000.0,147063000000000.0,187971000000000.0,,185235000000000.0,208912000000000.0,231002000000000.0,,236672000000000.0,251236000000000.0,259832000000000.0,,264635000000000.0,264719000000000.0,278995000000000.0,,311506000000000.0,308007000000000.0,314196000000000.0,,369460000000000.0,351912000000000.0,349257000000000.0,,385000000000000.0,370000000000000.0,368000000000000.0,,459000000000000.0,,292000000000000.0
Restructuring Charges ($mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000000000000.0,1000000000000.0,0.0,0,166000000000000.0,1000000000000.0,5000000000000.0
Total Debt ($mm),,,,,,,,,,,,,,,,,,,,,1506605000000000.0,2041058000000000.0,1827004000000000.0,2883278000000000.0,2898115000000000.0,3056717000000000.0,3058561000000000.0,3060424000000000.0,3062240000000000.0,5269320000000000.0,5271987000000000.0,2974979000000000.0,2976000000000000.0,2976889000000000.0,2977845000000000.0,2978800000000000.0,2980000000000000.0,2981000000000000.0,,,,,,
Total Shareholders' Equity ($mm),1201228000000000.0,1116027000000000.0,1131975000000000.0,1125527000000000.0,1226280000000000.0,1128156000000000.0,1140846000000000.0,1137459000000000.0,1276608000000000.0,1320857000000000.0,1370397000000000.0,1540274000000000.0,1580365000000000.0,1657300000000000.0,1775224000000000.0,1833149000000000.0,1958442000000000.0,2044748000000000.0,2210285000000000.0,2319179000000000.0,2486551000000000.0,2602004000000000.0,2838478000000000.0,3078054000000000.0,3277834000000000.0,3405441000000000.0,3867990000000000.0,4215816000000000.0,4535000000000000.0,4780807000000000.0,5127808000000000.0,5409108000000000.0,5585000000000000.0,5942000000000000.0,6274000000000000.0,6625000000000000.0,8082000000000000.0,8163000000000000.0,8345000000000000.0,8624000000000000.0,9034000000000000.0,8919000000000000.0,9172000000000000.0,8879000000000000.0
Cash & Equivalents ($mm),298192000000000.0,270484000000000.0,230578000000000.0,219893000000000.0,300087000000000.0,404604000000000.0,405529000000000.0,386557000000000.0,539923000000000.0,498931000000000.0,748599000000000.0,1336984000000000.0,1134355000000000.0,1036045000000000.0,1693743000000000.0,540430000000000.0,638554000000000.0,781772000000000.0,619514000000000.0,912748000000000.0,731141000000000.0,1214213000000000.0,1239696000000000.0,1067038000000000.0,1384181000000000.0,959358000000000.0,1087070000000000.0,1297259000000000.0,1534000000000000.0,2776336000000000.0,2486540000000000.0,1575955000000000.0,1886000000000000.0,1444000000000000.0,1436000000000000.0,1564000000000000.0,2012000000000000.0,1752000000000000.0,1635000000000000.0,1311000000000000.0,1543000000000000.0,972000000000000.0,1264000000000000.0,2609000000000000.0
Goodwill ($mm),32312000000000.0,32312000000000.0,39930000000000.0,51945000000000.0,50325000000000.0,50727000000000.0,52819000000000.0,158195000000000.0,107658000000000.0,158193000000000.0,158540000000000.0,158418000000000.0,159376000000000.0,159398000000000.0,175073000000000.0,1377615000000000.0,1379125000000000.0,1379125000000000.0,1389349000000000.0,1389349000000000.0,1819261000000000.0,1819261000000000.0,1819261000000000.0,1819625000000000.0,1819625000000000.0,2362166000000000.0,2362166000000000.0,2428481000000000.0,2840044000000000.0,2840044000000000.0,2840044000000000.0,2840044000000000.0,2840000000000000.0,2840044000000000.0,2840044000000000.0,2846464000000000.0,2846000000000000.0,3257000000000000.0,3257000000000000.0,3479000000000000.0,3478000000000000.0,3478000000000000.0,3478000000000000.0,4263000000000000.0
Acquired Intangibles ($mm),,,,,15491000000000.0,,,,48787000000000.0,,,,34234000000000.0,,,,313240000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Lease Liabilities ($mm),,,,,,,,,,,,,,,,,,556181000000000.0,553280000000000.0,542075000000000.0,549425000000000.0,579128000000000.0,619012000000000.0,790352000000000.0,793051000000000.0,508242000000000.0,500461000000000.0,489390000000000.0,445456000000000.0,445047000000000.0,518555000000000.0,482393000000000.0,455000000000000.0,461038000000000.0,483086000000000.0,496011000000000.0,543000000000000.0,631000000000000.0,666000000000000.0,658000000000000.0,657000000000000.0,718000000000000.0,1472000000000000.0,1497000000000000.0
Share Buybacks ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,138647000000000.0,144686000000000.0,,128000000000000.0,312000000000000.0,158000000000000.0,,290000000000000.0,,-691000000000000.0
Headcount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Expenditures ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59000000000000.0,65000000000000.0,60000000000000.0,,81000000000000.0,55000000000000.0,47000000000000.0,,36000000000000.0,,167000000000000.0
Free Cash Flow ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218316000000000.0,360264000000000.0,390775000000000.0,,291000000000000.0,516000000000000.0,359000000000000.0,,421000000000000.0,,633000000000000.0
Market Cap ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
