Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,,,,1.16526e+17,1.21949e+17,1.22136e+17,1.3515e+17,1.2163e+17,1.27059e+17,1.23897e+17,1.37743e+17,1.22949e+17,1.29388e+17,1.26981e+17,1.40608e+17,1.33672e+17,1.36824e+17,1.33752e+17,,1.37159e+17,1.39871e+17,1.39207e+17,,1.40288e+17,1.51381e+17,1.51469e+17,,1.51004e+17,1.6028e+17,1.59439e+17,,1.59938e+17,1.67767e+17,1.68003e+17,,1.63981e+17,1.7575e+17,1.77769e+17
Operating Income ($mm),,5680000000000000.0,6069000000000000.0,5714000000000000.0,,5275000000000000.0,6165000000000000.0,5119000000000000.0,,5237000000000000.0,5969000000000000.0,4764000000000000.0,,5154000000000000.0,5750000000000000.0,4986000000000000.0,,4945000000000000.0,5583000000000000.0,4718000000000000.0,,5224000000000000.0,6059000000000000.0,5778000000000000.0,,6909000000000000.0,7354000000000000.0,5792000000000000.0,,5318000000000000.0,6854000000000000.0,2695000000000000.0,,6240000000000000.0,7316000000000000.0,6202000000000000.0,,6841000000000000.0,7940000000000000.0,6708000000000000.0,,7135000000000000.0,7286000000000000.0,6696000000000000.0
Effective Tax Rate,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.3,0.3,0.2,,0.3,0.2,0.2,,0.3,0.2,0.3,,0.2,0.2,0.2,,0.2,0.2,0.3
Stock-Based Compensation ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restructuring Charges ($mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Debt ($mm),5.2063e+16,6840000000000000.0,5749000000000000.0,7706000000000000.0,4.6412e+16,6070000000000000.0,4197000000000000.0,7348000000000000.0,4.1626e+16,5873000000000000.0,6516000000000000.0,8371000000000000.0,4.2778e+16,9338000000000000.0,1534000000000000.0,1.0386e+16,5.2497e+16,6292000000000000.0,5.6877e+16,5.8024e+16,5.5013e+16,5.902e+16,5.2422e+16,4.9805e+16,4.7648e+16,3862000000000000.0,2288000000000000.0,2022000000000000.0,4.088e+16,1.5012e+16,1.595e+16,1.2269e+16,4.3403e+16,5686000000000000.0,7443000000000000.0,1.2748e+16,4.3904e+16,7322000000000000.0,4690000000000000.0,6825000000000000.0,4.1665e+16,9680000000000000.0,7848000000000000.0,1.1924e+16
Total Shareholders' Equity ($mm),8.1394e+16,7.6574e+16,7.8871e+16,7.9571e+16,8.0546e+16,7.5183e+16,7.6525e+16,7.7693e+16,7.7798e+16,7.3691e+16,7.6389e+16,7.6145e+16,7.7869e+16,7.5552e+16,7.1185e+16,7.1996e+16,7.2496e+16,6.8205e+16,7.0327e+16,7.1649e+16,7.4669e+16,6.824e+16,7.531e+16,8.1431e+16,8.0925e+16,7.8335e+16,8.0529e+16,8.2274e+16,8.3253e+16,7.6896e+16,7.7569e+16,7.2253e+16,7.6693e+16,7.2405e+16,7.9556e+16,7.9456e+16,8.3861e+16,8.1293e+16,8.4423e+16,8.8108e+16,9.1013e+16,8.3793e+16,9.011e+16,9.6094e+16
Cash & Equivalents ($mm),9135000000000000.0,7759000000000000.0,5751000000000000.0,6990000000000000.0,8705000000000000.0,7597000000000000.0,7676000000000000.0,5939000000000000.0,6867000000000000.0,6545000000000000.0,6469000000000000.0,7026000000000000.0,6756000000000000.0,7885000000000000.0,1.584e+16,9174000000000000.0,7722000000000000.0,9255000000000000.0,9283000000000000.0,8606000000000000.0,9465000000000000.0,1.493e+16,1.6906e+16,1.4325e+16,1.7741e+16,2.2846e+16,2.2831e+16,1.6111e+16,1.476e+16,1.1817e+16,1.3923e+16,1.1587e+16,8625000000000000.0,1.0575e+16,1.3888e+16,1.2154e+16,9867000000000000.0,9405000000000000.0,8811000000000000.0,1.0049e+16,9037000000000000.0,9311000000000000.0,9431000000000000.0,1.0582e+16
Goodwill ($mm),1.8102e+16,1.7531e+16,1.7799e+16,1.7051e+16,1.6695e+16,1.6751e+16,1.6339e+16,1.7792e+16,1.7037e+16,1.7575e+16,1.8037e+16,1.8204e+16,1.8242e+16,1.885e+16,1.784e+16,3.1044e+16,3.1181e+16,3.1416e+16,3.1454e+16,3.0716e+16,3.1073e+16,2.9416e+16,2.9542e+16,3.0236e+16,2.8983e+16,2.8872e+16,2.9159e+16,2.8923e+16,2.9014e+16,2.9438e+16,2.8664e+16,2.8137e+16,2.8174e+16,2.8306e+16,2.8268e+16,2.8015e+16,2.8113e+16,2.7999e+16,2.793e+16,2.7942e+16,2.8792e+16,2.8866e+16,2.906e+16,2.8722e+16
Acquired Intangibles ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Lease Liabilities ($mm),,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.3186e+16,3.3953e+16,3.3222e+16,3.4135e+16,1.5669e+16,1.5669e+16,1.5982e+16,2.7284e+16,1.293e+16,1.3116e+16,1.3095e+16,2.7501e+16,1.3226e+16,1.314e+16,1.2658e+16,2.7129e+16,1.2925e+16,1.2978e+16,1.2817e+16,2.7373e+16,1.284e+16,1.2811e+16,1.2927e+16,2.7149e+16,1.2797e+16,1.3171e+16,1.3705e+16
Share Buybacks ($mm),,280000000000000.0,,-705000000000000.0,,2735000000000000.0,,-2142000000000000.0,,2185000000000000.0,,1642000000000000.0,,539000000000000.0,,4135000000000000.0,,2135000000000000.0,,2581000000000000.0,,723000000000000.0,,4531000000000000.0,,2809000000000000.0,,-4743000000000000.0,,2408000000000000.0,,1079000000000000.0,,686000000000000.0,,8638000000000000.0,,1059000000000000.0,,-270000000000000.0,,4555000000000000.0,,-2514000000000000.0
Headcount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Expenditures ($mm),,2203000000000000.0,,3951000000000000.0,,2209000000000000.0,,4018000000000000.0,,1990000000000000.0,,3711000000000000.0,,1818000000000000.0,,3037000000000000.0,,2205000000000000.0,,2579000000000000.0,,1752000000000000.0,,4267000000000000.0,,2214000000000000.0,,1676000000000000.0,,3539000000000000.0,,1045000000000000.0,,4429000000000000.0,,2183000000000000.0,,4676000000000000.0,,3910000000000000.0,,4986000000000000.0,,5156000000000000.0
Free Cash Flow ($mm),,2243000000000000.0,,9608000000000000.0,,3984000000000000.0,,3753000000000000.0,,3395000000000000.0,,1.0902e+16,,3343000000000000.0,,7992000000000000.0,,1358000000000000.0,,1.0635e+16,,5265000000000000.0,,-1892000000000000.0,,644000000000000.0,,1.8107e+16,,-7297000000000000.0,,7438000000000000.0,,204000000000000.0,,7644000000000000.0,,-427000000000000.0,,8898000000000000.0,,425000000000000.0,,3835000000000000.0
Market Cap ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
