Line Item,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025
Revenue ($mm),,,,,,,,,,,,,,,7.4187e+16,6.8253e+16,6.1646e+16,6.7491e+16,6.3422e+16,6.3024e+16,5.5134e+16,3.2277e+16,4.5425e+16,4.5738e+16,5.7552e+16,6.5943e+16,7.1892e+16,8.1305e+16,8.7734e+16,1.11265e+17,1.06512e+17,,8.3644e+16,8.0795e+16,,,,,,,,,,
Operating Income ($mm),6635000000000000.0,6954000000000000.0,5749000000000000.0,2628000000000000.0,1730000000000000.0,2396000000000000.0,3226000000000000.0,617000000000000.0,5918000000000000.0,4156000000000000.0,5583000000000000.0,3017000000000000.0,7240000000000000.0,6512000000000000.0,9080000000000000.0,8121000000000000.0,4289000000000000.0,4632000000000000.0,4721000000000000.0,6414000000000000.0,-258000000000000.0,-1640000000000000.0,-372000000000000.0,-2.6613e+16,3592000000000000.0,6307000000000000.0,9606000000000000.0,1.1729e+16,8556000000000000.0,2.4933e+16,2.5422e+16,1.8842e+16,1.6803e+16,1.1656e+16,1.3699e+16,1.0625e+16,1.2369e+16,1.3665e+16,1.3026e+16,9813000000000000.0,1.16e+16,1.0705e+16,1.0932e+16,8031000000000000.0
Effective Tax Rate,0.2,0.4,0.2,0.1,0.0,0.3,0.1,,0.3,0.2,0.3,,0.3,0.4,0.3,0.2,0.4,0.3,0.3,0.1,,0.3,,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.2
Stock-Based Compensation ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restructuring Charges ($mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39000000000000.0,10000000000000.0,4000000000000.0,5000000000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Debt ($mm),1.9494e+16,1.9431e+16,1.9839e+16,3.8456e+16,2.9568e+16,2.9499e+16,2.8916e+16,4.2619e+16,2.5124e+16,2.475e+16,2.4869e+16,4.2221e+16,2.0781e+16,2.072e+16,2.0624e+16,3.7471e+16,1.9031e+16,1.9001e+16,2.595e+16,4.652e+16,3.1857e+16,4.6563e+16,4.6888e+16,6.7418e+16,4.5137e+16,4.5319e+16,4.3639e+16,4.7428e+16,4.2651e+16,3.9516e+16,3.9246e+16,4.0814e+16,3.915e+16,3.7567e+16,3.651e+16,4.1567e+16,3.2213e+16,3.6565e+16,3.6918e+16,4.1647e+16,3.2823e+16,3.357e+16,3.2824e+16,4.35e+16
Total Shareholders' Equity ($mm),1.71227e+17,1.72668e+17,1.70723e+17,1.70811e+17,1.72187e+17,1.70591e+17,1.70597e+17,1.67325e+17,1.77151e+17,1.79178e+17,1.82276e+17,1.87688e+17,1.88195e+17,1.87222e+17,1.90365e+17,1.91794e+17,1.91222e+17,1.91377e+17,1.89915e+17,1.9165e+17,1.82079e+17,1.80183e+17,1.774e+17,1.5715e+17,1.56974e+17,1.58571e+17,1.60589e+17,1.68577e+17,1.69215e+17,1.77316e+17,1.861e+17,1.95049e+17,1.98685e+17,1.99046e+17,1.99703e+17,2.04802e+17,2.0525e+17,2.68405e+17,2.68592e+17,2.63705e+17,2.6272e+17,2.62593e+17,2.60561e+17,2.59386e+17
Cash & Equivalents ($mm),5184000000000000.0,4343000000000000.0,4296000000000000.0,3705000000000000.0,4846000000000000.0,4358000000000000.0,5093000000000000.0,3657000000000000.0,4897000000000000.0,4042000000000000.0,4266000000000000.0,3177000000000000.0,4125000000000000.0,3430000000000000.0,5669000000000000.0,3042000000000000.0,4586000000000000.0,4213000000000000.0,5351000000000000.0,3089000000000000.0,1.1412e+16,1.2576e+16,8832000000000000.0,4364000000000000.0,3515000000000000.0,3465000000000000.0,4768000000000000.0,6802000000000000.0,1.1074e+16,1.8861e+16,3.0407e+16,2.964e+16,3.2651e+16,2.9528e+16,3.2944e+16,3.1539e+16,3.332e+16,2.646e+16,2.6926e+16,2.3029e+16,1.7036e+16,1.4352e+16,1.3814e+16,1.0681e+16
Goodwill ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquired Intangibles ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Lease Liabilities ($mm),,,,,,,,,,,,,,,,,3300000000000000.0,,,,,,,,,,,9013000000000000.0,,,,9661000000000000.0,,,,1.0403e+16,,,,1.1104e+16,,,,1.1726e+16
Share Buybacks ($mm),1781000000000000.0,1003000000000000.0,,754000000000000.0,726000000000000.0,1000000000000.0,,250000000000000.0,501000000000000.0,13000000000000.0,,232000000000000.0,427000000000000.0,2000000000000.0,,196000000000000.0,421000000000000.0,0.0,,173000000000000.0,305000000000000.0,0.0,,100000000000000.0,1000000000000.0,0.0,,154000000000000.0,2067000000000000.0,3919000000000000.0,,4675000000000000.0,4340000000000000.0,4340000000000000.0,,4656000000000000.0,3011000000000000.0,5326000000000000.0,,5780000000000000.0,4804000000000000.0,4964000000000000.0,,5379000000000000.0
Headcount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Expenditures ($mm),6844000000000000.0,7109000000000000.0,,6136000000000000.0,4601000000000000.0,4271000000000000.0,,3887000000000000.0,2890000000000000.0,3098000000000000.0,,4501000000000000.0,3349000000000000.0,4927000000000000.0,,6094000000000000.0,5199000000000000.0,6173000000000000.0,,6704000000000000.0,5945000000000000.0,4417000000000000.0,,3629000000000000.0,2400000000000000.0,2747000000000000.0,,4089000000000000.0,3911000000000000.0,3837000000000000.0,,5783000000000000.0,5412000000000000.0,5359000000000000.0,,6228000000000000.0,5074000000000000.0,6235000000000000.0,,6837000000000000.0,5898000000000000.0,6283000000000000.0,,7450000000000000.0
Free Cash Flow ($mm),,,,,,,,3509000000000000.0,5283000000000000.0,3849000000000000.0,,2910000000000000.0,5170000000000000.0,2853000000000000.0,,2513000000000000.0,3139000000000000.0,-226000000000000.0,,-352000000000000.0,329000000000000.0,-4417000000000000.0,,376000000000000.0,6864000000000000.0,6903000000000000.0,,1.3035e+16,1.0877e+16,1.6126e+16,,1.1838e+16,1.0929e+16,4024000000000000.0,,7454000000000000.0,9590000000000000.0,4325000000000000.0,,5392000000000000.0,7055000000000000.0,5267000000000000.0,,5229000000000000.0
Market Cap ($mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
